Frame,X,Y,dX,dY,Magnitude
0,251,142,0,0,0.0
1,255,149,4,7,8.06225774829855
2,259,157,4,8,8.94427190999916
3,264,164,5,7,8.602325267042627
4,269,170,5,6,7.810249675906654
5,275,176,6,6,8.48528137423857
6,280,183,5,7,8.602325267042627
7,285,189,5,6,7.810249675906654
8,289,195,4,6,7.211102550927978
9,293,201,4,6,7.211102550927978
10,297,207,4,6,7.211102550927978
11,300,213,3,6,6.708203932499369
12,303,219,3,6,6.708203932499369
13,305,226,2,7,7.280109889280518
14,307,232,2,6,6.324555320336759
15,309,240,2,8,8.246211251235321
16,311,247,2,7,7.280109889280518
17,312,254,1,7,7.0710678118654755
18,313,262,1,8,8.06225774829855
19,314,270,1,8,8.06225774829855
20,315,278,1,8,8.06225774829855
21,315,286,0,8,8.0
22,316,294,1,8,8.06225774829855
23,315,303,-1,9,9.055385138137417
24,315,311,0,8,8.0
25,314,320,-1,9,9.055385138137417
26,312,328,-2,8,8.246211251235321
27,310,337,-2,9,9.219544457292887
28,306,345,-4,8,8.94427190999916
29,302,352,-4,7,8.06225774829855
30,298,359,-4,7,8.06225774829855
31,294,366,-4,7,8.06225774829855
32,290,373,-4,7,8.06225774829855
33,287,379,-3,6,6.708203932499369
34,283,386,-4,7,8.06225774829855
35,280,393,-3,7,7.615773105863909
36,278,401,-2,8,8.246211251235321
37,275,408,-3,7,7.615773105863909
38,272,417,-3,9,9.486832980505138
39,269,424,-3,7,7.615773105863909
40,266,432,-3,8,8.54400374531753
41,263,439,-3,7,7.615773105863909
42,260,446,-3,7,7.615773105863909
43,258,453,-2,7,7.280109889280518
44,257,459,-1,6,6.082762530298219
45,256,466,-1,7,7.0710678118654755
46,256,472,0,6,6.0
47,256,478,0,6,6.0
48,257,485,1,7,7.0710678118654755
49,255,492,-2,7,7.280109889280518
50,254,499,-1,7,7.0710678118654755
51,252,505,-2,6,6.324555320336759
52,251,511,-1,6,6.082762530298219
53,250,517,-1,6,6.082762530298219
54,250,524,0,7,7.0
55,249,530,-1,6,6.082762530298219
56,249,538,0,8,8.0
57,248,546,-1,8,8.06225774829855
58,246,554,-2,8,8.246211251235321
59,244,562,-2,8,8.246211251235321
60,242,571,-2,9,9.219544457292887
61,239,579,-3,8,8.54400374531753
62,237,587,-2,8,8.246211251235321
