Frame,X,Y,dX,dY,Magnitude
0,713,139,0,1,1.0
1,714,142,1,3,3.1622776601683795
2,713,146,-1,4,4.123105625617661
3,713,149,0,3,3.0
4,712,153,-1,4,4.123105625617661
5,711,156,-1,3,3.1622776601683795
6,710,160,-1,4,4.123105625617661
7,710,163,0,3,3.0
8,710,167,0,4,4.0
9,710,171,0,4,4.0
10,711,174,1,3,3.1622776601683795
11,711,178,0,4,4.0
12,713,181,2,3,3.605551275463989
13,714,185,1,4,4.123105625617661
14,715,188,1,3,3.1622776601683795
15,716,191,1,3,3.1622776601683795
16,717,195,1,4,4.123105625617661
17,717,199,0,4,4.0
18,717,202,0,3,3.0
19,717,206,0,4,4.0
20,716,210,-1,4,4.123105625617661
21,716,213,0,3,3.0
22,715,217,-1,4,4.123105625617661
23,715,220,0,3,3.0
24,714,224,-1,4,4.123105625617661
25,714,228,0,4,4.0
26,714,231,0,3,3.0
27,714,235,0,4,4.0
28,714,238,0,3,3.0
29,715,242,1,4,4.123105625617661
30,715,245,0,3,3.0
31,716,248,1,3,3.1622776601683795
32,716,252,0,4,4.0
33,717,256,1,4,4.123105625617661
34,717,259,0,3,3.0
35,717,263,0,4,4.0
36,717,267,0,4,4.0
37,717,270,0,3,3.0
38,716,274,-1,4,4.123105625617661
39,716,277,0,3,3.0
40,716,281,0,4,4.0
41,716,284,0,3,3.0
42,715,288,-1,4,4.123105625617661
43,715,292,0,4,4.0
44,714,295,-1,3,3.1622776601683795
45,714,299,0,4,4.0
46,714,302,0,3,3.0
47,713,305,-1,3,3.1622776601683795
48,713,309,0,4,4.0
49,712,312,-1,3,3.1622776601683795
50,712,316,0,4,4.0
51,712,320,0,4,4.0
52,713,323,1,3,3.1622776601683795
53,713,327,0,4,4.0
54,714,330,1,3,3.1622776601683795
55,714,333,0,3,3.0
56,714,337,0,4,4.0
57,714,341,0,4,4.0
58,714,344,0,3,3.0
59,714,348,0,4,4.0
60,714,351,0,3,3.0
61,713,355,-1,4,4.123105625617661
62,712,358,-1,3,3.1622776601683795
63,711,362,-1,4,4.123105625617661
64,710,365,-1,3,3.1622776601683795
65,709,368,-1,3,3.1622776601683795
66,708,372,-1,4,4.123105625617661
67,708,375,0,3,3.0
68,708,379,0,4,4.0
69,709,383,1,4,4.123105625617661
70,710,386,1,3,3.1622776601683795
71,710,389,0,3,3.0
72,711,393,1,4,4.123105625617661
73,712,397,1,4,4.123105625617661
74,712,400,0,3,3.0
75,712,404,0,4,4.0
76,712,408,0,4,4.0
77,711,411,-1,3,3.1622776601683795
78,710,415,-1,4,4.123105625617661
79,709,418,-1,3,3.1622776601683795
80,708,421,-1,3,3.1622776601683795
81,706,425,-2,4,4.47213595499958
82,705,428,-1,3,3.1622776601683795
83,705,432,0,4,4.0
84,705,436,0,4,4.0
85,705,439,0,3,3.0
86,706,443,1,4,4.123105625617661
87,706,446,0,3,3.0
88,707,450,1,4,4.123105625617661
89,707,453,0,3,3.0
90,708,457,1,4,4.123105625617661
91,708,460,0,3,3.0
92,708,464,0,4,4.0
93,708,467,0,3,3.0
94,708,471,0,4,4.0
95,707,474,-1,3,3.1622776601683795
96,707,478,0,4,4.0
97,706,481,-1,3,3.1622776601683795
98,706,485,0,4,4.0
99,706,488,0,3,3.0
100,706,492,0,4,4.0
101,706,496,0,4,4.0
102,706,499,0,3,3.0
103,706,502,0,3,3.0
104,706,506,0,4,4.0
105,707,510,1,4,4.123105625617661
106,707,513,0,3,3.0
107,708,517,1,4,4.123105625617661
108,708,520,0,3,3.0
109,709,524,1,4,4.123105625617661
110,709,527,0,3,3.0
111,709,531,0,4,4.0
112,710,534,1,3,3.1622776601683795
113,710,538,0,4,4.0
114,711,541,1,3,3.1622776601683795
115,711,544,0,3,3.0
116,711,548,0,4,4.0
