Shape,N,w (cm/s),V_h (cm/s),delta* (norm. drift),phi (tortuosity %),epsilon (drift grad.),Re_p
Box Shape Prism,17,9.51 +/- 1.69,3.29 +/- 1.58,3.61 +/- 2.43,10.35 +/- 6.15,0.0484 +/- 0.0568,365.55 +/- 236.88
Cube,21,9.81 +/- 1.62,3.12 +/- 0.91,5.27 +/- 3.57,7.20 +/- 1.77,0.0747 +/- 0.0588,431.38 +/- 203.85
Cylinder,26,10.99 +/- 2.78,3.43 +/- 1.33,4.63 +/- 2.32,7.87 +/- 4.14,0.0780 +/- 0.0515,535.84 +/- 301.38
Elliptic Cylinder,8,5.76 +/- 0.49,2.87 +/- 0.69,1.10 +/- 0.59,24.71 +/- 9.74,0.0295 +/- 0.0136,474.22 +/- 52.62
Half Cylinder,17,7.65 +/- 2.10,2.23 +/- 0.55,3.98 +/- 2.70,9.04 +/- 4.26,0.0505 +/- 0.0251,298.53 +/- 87.42
Wedge Shape Prism,16,6.66 +/- 1.43,2.29 +/- 1.11,10.59 +/- 9.11,8.31 +/- 3.86,0.0954 +/- 0.0781,184.80 +/- 59.11
ALL,105,8.92 +/- 2.63,2.93 +/- 1.21,5.13 +/- 4.93,9.68 +/- 6.46,0.0670 +/- 0.0562,390.77 +/- 233.40
