Shape,N,a (mm),b (mm),density (kg/m3),d_eq (mm)
Box Shape Prism,17,4.44 +/- 1.50,3.99 +/- 1.69,1139.43 +/- 37.20,3.65 +/- 1.45
Cube,21,4.53 +/- 1.58,4.40 +/- 1.59,1075.18 +/- 48.29,4.29 +/- 1.70
Cylinder,26,5.03 +/- 1.60,4.44 +/- 2.07,1290.77 +/- 101.95,4.78 +/- 1.73
Elliptic Cylinder,8,8.30 +/- 1.42,8.30 +/- 1.42,1126.76 +/- 53.37,8.30 +/- 1.42
Half Cylinder,17,4.20 +/- 0.83,3.09 +/- 1.42,1146.16 +/- 52.83,3.75 +/- 1.02
Wedge Shape Prism,16,3.02 +/- 0.93,2.73 +/- 0.85,1250.36 +/- 32.90,2.73 +/- 0.41
ALL,105,4.64 +/- 1.82,4.17 +/- 2.09,1181.08 +/- 103.24,4.29 +/- 1.93
