category,code,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
PA 6,HC-2,4.73,4.7299999999999995,0.11999999999999982,2.536997885835091,0.09093599999999968
ABS C,C-4,3.66,3.66,0.1100000000000001,3.00546448087432,0.08335800000000027
HC,HC-14,3.37,3.37,0.1100000000000001,3.2640949554896173,0.08335800000000004
WSP,WSP-28,3.2433333333333336,3.2433333333333336,0.10888888888888874,3.3573141486810503,0.08251599999999988
PLA CUBE,CUBE-17,3.86,3.8599999999999994,0.10666666666666662,2.763385146804835,0.08083199999999986
ABS HC,HC-7,3.135,3.135,0.1050000000000002,3.3492822966507245,0.07956900000000022
PLA C,C-29,4.035,4.035,0.10499999999999976,2.602230483271369,0.079569
PLA HC,HC-6,4.824999999999999,4.824999999999999,0.10499999999999998,2.176165803108808,0.079569
PLA HC,HC-9,5.255000000000001,5.255000000000001,0.10499999999999998,1.998097050428163,0.07956899999999978
ABS HC,HC-5,2.856666666666667,2.856666666666667,0.09777777777777767,3.4227926876701633,0.07409599999999994
PA 6,C-2,5.11,5.11,0.08666666666666689,1.6960208741030705,0.065676
WSP,WSP-47,2.225,2.225,0.08499999999999996,3.820224719101122,0.06441300000000005
HC,HC-22,4.41,4.41,0.07000000000000028,1.5873015873015937,0.05304600000000037
PLA C,C-28,6.793333333333334,6.793333333333334,0.05111111111111111,0.7523716061498199,0.03873199999999984
PLA C,C-15,5.91,5.91,0.04999999999999982,0.8460236886632796,0.03788999999999998
BSP,BSP-29,4.826666666666667,4.826666666666667,0.048888888888889426,1.0128913443830683,0.037048000000000414
PLA CUBE,CUBE-8,7.505,7.505,0.04499999999999993,0.5996002664890064,0.03410100000000016
WSP,WSP-27,3.806666666666666,3.8066666666666666,0.04444444444444443,1.1675423234092233,0.03368000000000008
ABS HC,HC-3,3.083333333333333,3.0833333333333335,0.04444444444444429,1.4414414414414365,0.03367999999999993
C,C-15,5.49,5.49,0.029999999999999805,0.5464480874316904,0.02273399999999981
PLA CUBE,CUBE-18,6.73,6.7299999999999995,0.02666666666666669,0.3962357602773654,0.02020799999999993
PA 6,HC-1,3.98,3.98,0.020000000000000018,0.5025125628140708,0.01515600000000017
BSP,BSP-10,5.3500000000000005,5.3500000000000005,0.013333333333333641,0.24922118380062877,0.010103999999999816
PLA HC,HC-12,5.485,5.485,0.004999999999999893,0.09115770282588684,0.0037890000000002644
PLA CUBE,CUBE-26,6.800000000000001,6.8,8.881784197001252e-16,1.3061447348531253e-14,8.881784197001252e-16
ABS C,C-7,3.4799999999999995,3.48,4.440892098500626e-16,1.2761184191093755e-14,4.440892098500626e-16
ABS HC,HC-4,3.2099999999999995,3.21,4.440892098500626e-16,1.3834554823989492e-14,4.440892098500626e-16
C,C-23,3.3300000000000005,3.33,4.440892098500626e-16,1.3336012307809687e-14,4.440892098500626e-16
ABS C,C-13,2.96,2.96,0.0,0.0,0.0
ABS C,C-14,3.8,3.8,0.0,0.0,0.0
ABS C,C-11,3.61,3.61,0.0,0.0,0.0
BSP,BSP-18,4.52,4.52,0.0,0.0,0.0
BSP,BSP-23,3.93,3.93,0.0,0.0,0.0
HC,HC-26,3.5000000000000004,3.5,4.440892098500626e-16,1.2688263138573217e-14,0.0
HC,HC-31,3.74,3.74,0.0,0.0,0.0
PA 6,BSP-2,4.78,4.78,0.0,0.0,0.0
HC,HC-16,2.52,2.52,0.0,0.0,0.0
C,C-13,6.23,6.23,0.0,0.0,0.0
C,C-11,6.06,6.06,0.0,0.0,0.0
C,C-29,3.01,3.01,0.0,0.0,0.0
PLA CUBE,CUBE-20,6.03,6.03,0.0,0.0,0.0
PLA C,C-20,7.46,7.46,0.0,0.0,0.0
PLA C,C-24,6.480000000000001,6.48,8.881784197001252e-16,1.3706457094137733e-14,0.0
PLA CUBE,CUBE-1,5.43,5.43,0.0,0.0,0.0
RESIN (a=9 r=4.5),CUBE-5,9.76,9.76,0.0,0.0,0.0
RESIN (a=9 r=4.5),SP-7,13.53,13.53,0.0,0.0,0.0
WSP,WSP-15,1.93,1.93,0.0,0.0,0.0
RESIN (a=9 r=4.5),SP-2,15.36,15.36,0.0,0.0,0.0
RESIN (a=9 r=4.5),SP-3,15.659999999999998,15.66,1.7763568394002505e-15,1.1343274836527782e-14,0.0
