category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,a1,b1,c1,volume_orig,volume_trans,psi,L_char,w,s,L_m,R_star,c1_m,CD_star,psi_CD_star
ABS C,C-1,0,Cylinder,5.44,5.293333333333333,0.0,1175.7719647634667,4.62,1.3010764773832468,2,123.0316714408338,136.9499824713682,1.0275136938865457,0.898369384359401,7.693321779309638,7.693321779309638,5.293333333333333,123.0316714408338,313.29757866666677,3.7010484331697677,10.880000000000003,0.0462,1.1781282212058786,0.010880000000000003,501.6506880000001,0.005293333333333333,8.667164239323084,32.07759462797174
ABS C,C-10,0,Cylinder,3.3433333333333333,3.16,0.0,1193.9853891589855,2.8825000000000003,0.6323698812140462,4,27.7419075804191,50.74888630036156,1.0576821680902668,0.5466505691617798,4.728187343534048,4.728187343534048,3.16,27.7419075804191,70.64418755555555,3.810199430825221,6.6866666666666665,0.028825000000000003,1.1963781454498852,0.006686666666666666,192.35768033333332,0.00316,14.65347433679359,55.83265957766292
ABS C,C-11,0,Cylinder,5.489999999999999,3.27,0.0,1100.001055228801,3.61,0.0,1,77.40737193369245,103.74277216427087,1.6783858147355548,0.7461471321695762,7.764032457428291,7.764032457428291,3.27,77.40737193369245,197.11625399999997,6.046160948871575,10.979999999999999,0.0361,1.1022054661611234,0.010979999999999998,395.58524399999993,0.00327,5.031604250033116,30.42188912672647
ABS C,C-12,0,Cylinder,3.3866666666666667,3.293333333333333,0.0,1093.4213870778954,3.06,0.5028584956691758,4,29.666784553974978,53.05577523918507,1.028027926742892,0.5591622103386809,4.789469931236883,4.789469931236883,3.293333333333333,29.666784553974978,75.54584651851854,3.7033254138284226,6.773333333333334,0.030600000000000002,1.0956126123025003,0.006773333333333334,206.84947200000002,0.003293333333333333,6.597919674535985,24.434243609107668
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,2.96,0.0,1,77.73840582765787,104.00710227948544,1.6742862948288124,0.7474336283185841,7.768746502636202,7.768746502636202,3.28,77.73840582765787,197.95922488888888,6.031387353767932,10.986666666666666,0.0296,1.1158114619635797,0.010986666666666667,324.5549226666667,0.00328,8.506305353610555,51.30482253705516
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,3.8,0.0,1,74.41656720445049,100.90532058613366,1.6583017515108065,0.7374890320171755,7.632039191606805,7.632039191606805,3.2533333333333334,74.41656720445049,189.50023229629642,5.973820146960475,10.793333333333337,0.038,1.1333187777985763,0.010793333333333337,409.3263733333335,0.0032533333333333333,5.893207004428146,35.20495873326145
ABS C,C-15,0,Cylinder,5.426666666666667,3.313333333333334,0.0,1123.476821663564,3.235,0.2973774257292125,4,76.63396613120723,102.74488016444316,1.6373327969425724,0.7458665191740413,7.674465598477997,7.674465598477997,3.313333333333334,76.63396613120723,195.14679229629635,5.898249346896453,10.853333333333333,0.03235,1.125728278220004,0.010853333333333333,350.4031226666666,0.003313333333333334,7.809954988272813,46.06506190887082
ABS C,C-16,0,Cylinder,5.460000000000001,3.266666666666666,0.0,1119.9705245307755,3.9033333333333338,1.1412741417672911,6,76.48565456726861,102.8613983453063,1.670917066204224,0.743579766536965,7.721606050557101,7.721606050557101,3.266666666666666,76.48565456726861,194.76912000000007,6.019257656593228,10.920000000000003,0.03903333333333334,1.122214954439655,0.010920000000000003,425.3915120000001,0.003266666666666666,5.141109968234412,30.945665539682754
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,3.856666666666667,0.3955165398985651,3,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989799446749654,7.683893688893817,7.683893688893817,5.316666666666667,123.27131061583096,313.9078148148149,3.680289894259769,10.866666666666667,0.038566666666666666,1.1338016634444725,0.010866666666666667,418.2529288888889,0.0053166666666666675,9.383735114279352,34.53486551149284
ABS C,C-2,0,Cylinder,5.489999999999999,5.286666666666666,0.0,1118.5102892141804,4.613333333333333,0.3008875759039133,3,125.14586328933356,138.52491522849027,1.0382651453066885,0.9034177215189872,7.764032457428291,7.764032457428291,5.286666666666666,125.14586328933355,318.6813239999999,3.739775467114133,10.979999999999999,0.04613333333333333,1.1207517927997799,0.010979999999999998,505.5309119999999,0.005286666666666666,5.884978058161263,22.00849656641646
ABS C,C-3,0,Cylinder,5.446666666666666,5.233333333333334,0.0,1140.522851236535,4.516,0.3385705244110894,5,121.93541873483838,136.14817821300198,1.040565497038782,0.8956081552855747,7.702749869725458,7.702749869725458,5.233333333333334,121.93541873483838,310.5059940740741,3.748068434651493,10.893333333333334,0.04516,1.1428084681728807,0.010893333333333335,490.9590474666667,0.005233333333333335,7.1899106763468374,26.94827725397935
ABS C,C-4,0,Cylinder,5.396666666666666,5.239999999999999,0.0,1165.029569507883,3.66,0.1555634918610404,2,119.8594709481517,134.58752224916114,1.0297017108694269,0.8905689691370982,7.632039191606802,7.632039191606802,5.239999999999999,119.8594709481517,305.21963644444435,3.7089366815734235,10.793333333333333,0.0366,1.1673642981040913,0.010793333333333334,394.245928,0.005239999999999999,12.844906275884538,47.64094405800084
ABS C,C-5,0,Cylinder,5.406666666666666,5.276666666666666,0.0,1146.3828340883151,4.425,0.7284000732198391,4,121.14590310702488,135.54464335766232,1.024442619844628,0.8937712336396547,7.646181327230534,7.646181327230534,5.276666666666666,121.14590310702488,308.49550903703704,3.6899887929420756,10.813333333333333,0.04425,1.1486801944772698,0.010813333333333333,477.5330199999999,0.0052766666666666665,7.861134621536177,29.007498653277437
