category,code,exp_id,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
RESIN (a=6 r=3),CUBE-2,CUBE-2-09.01.2025-ANG-THIRD,8.738333333333333,9.44,0.7016666666666662,8.029753957657825,0.5317229999999995
RESIN (a=6 r=3),CUBE-2,CUBE-2-09.01.2025-MAK-FIRST,8.738333333333333,7.85,0.8883333333333336,10.165935533091746,0.6731790000000011
RESIN (a=6 r=3),CUBE-2,CUBE-2-09.01.2025-MAK-SECOND,8.738333333333333,8.12,0.6183333333333341,7.076101468624842,0.468573000000001
RESIN (a=6 r=3),CUBE-2,CUBE-2-09.01.2025-MAK-THIRD,8.738333333333333,8.1,0.6383333333333336,7.3049780659927555,0.4837290000000003
RESIN (a=6 r=3),CUBE-3,CUBE-3-09.01.2025-ANG-FIRST,9.75,10.0,0.25,2.5641025641025643,0.189449999999999
RESIN (a=6 r=3),CUBE-3,CUBE-3-09.01.2025-ANG-SECOND,9.75,9.5,0.25,2.5641025641025643,0.18945000000000078
RESIN (a=6 r=3),D-3,D-3-09.01.2025-ANG-FIRST,2.982,3.55,0.5679999999999996,19.047619047619033,0.43043039999999966
RESIN (a=6 r=3),D-3,D-3-09.01.2025-ANG-THIRD,2.982,2.18,0.802,26.894701542588866,0.6077556000000002
RESIN (a=6 r=3),D-3,D-3-09.01.2025-MAK-FIRST,2.982,3.21,0.22799999999999976,7.645875251509046,0.1727783999999999
RESIN (a=6 r=3),D-3,D-3-09.01.2025-MAK-SECOND,2.982,3.03,0.0479999999999996,1.609657947686103,0.036374399999999696
RESIN (a=6 r=3),D-3,D-3-09.01.2025-MAK-THIRD,2.982,2.94,0.04200000000000026,1.4084507042253607,0.03182760000000018
RESIN (a=6 r=3),SP-2,SP-2-09.01.2025-ANG-FIRST,10.900000000000002,12.56,1.6599999999999984,15.229357798165118,1.257947999999999
RESIN (a=6 r=3),SP-2,SP-2-09.01.2025-MAK-FIRST,10.900000000000002,9.24,1.660000000000002,15.229357798165152,1.2579480000000016
RESIN (a=6 r=3),SP-3,SP-3-09.01.2025-ANG-FIRST,10.516666666666667,11.69,1.173333333333332,11.156893819334377,0.8891519999999993
RESIN (a=6 r=3),SP-3,SP-3-09.01.2025-ANG-SECOND,10.516666666666667,11.13,0.6133333333333333,5.8320126782884305,0.46478399999999986
RESIN (a=6 r=3),SP-3,SP-3-09.01.2025-ANG-THIRD,10.516666666666667,10.8,0.2833333333333332,2.6941362916006324,0.21471000000000018
RESIN (a=6 r=3),SP-3,SP-3-09.01.2025-MAK-FIRST,10.516666666666667,9.93,0.5866666666666678,5.578446909667205,0.4445760000000005
RESIN (a=6 r=3),SP-3,SP-3-09.01.2025-MAK-SECOND,10.516666666666667,10.12,0.3966666666666683,3.7717908082409024,0.30059400000000114
RESIN (a=6 r=3),SP-3,SP-3-09.01.2025-MAK-THIRD,10.516666666666667,9.43,1.0866666666666678,10.33280507131538,0.8234760000000003
RESIN (a=9 r=4.5),C-3,C-3-09.01.2025-ANG-FIRST,10.47,11.69,1.2199999999999989,11.652340019102185,0.9245159999999997
RESIN (a=9 r=4.5),C-3,C-3-09.01.2025-MAK-FIRST,10.47,9.25,1.2200000000000006,11.652340019102201,0.9245159999999997
RESIN (a=9 r=4.5),C-4,C-4-09.01.2025-ANG-THIRD,9.51,10.71,1.200000000000001,12.618296529968466,0.9093600000000022
RESIN (a=9 r=4.5),C-4,C-4-09.01.2025-MAK-FIRST,9.51,8.16,1.3499999999999996,14.195583596214508,1.0230299999999986
RESIN (a=9 r=4.5),C-4,C-4-09.01.2025-MAK-SECOND,9.51,9.42,0.08999999999999986,0.9463722397476326,0.06820199999999854
RESIN (a=9 r=4.5),C-4,C-4-09.01.2025-MAK-THIRD,9.51,9.75,0.2400000000000002,2.5236593059936934,0.18187200000000114
RESIN (a=9 r=4.5),CUBE-3,CUBE-3-09.01.2025-ANG-FIRST,9.445,10.43,0.9849999999999994,10.428798305981994,0.7464329999999997
RESIN (a=9 r=4.5),CUBE-3,CUBE-3-09.01.2025-MAK-FIRST,9.445,8.46,0.9849999999999994,10.428798305981994,0.7464329999999997
RESIN (a=9 r=4.5),CUBE-4,CUBE-4-09.01.2025-ANG-FIRST,8.988,7.21,1.7779999999999996,19.781931464174452,1.3473684000000006
RESIN (a=9 r=4.5),CUBE-4,CUBE-4-09.01.2025-ANG-SECOND,8.988,11.21,2.2220000000000013,24.72185135736539,1.6838316000000013
RESIN (a=9 r=4.5),CUBE-4,CUBE-4-09.01.2025-ANG-THIRD,8.988,8.1,0.8879999999999999,9.879839786381842,0.6729263999999997
RESIN (a=9 r=4.5),CUBE-4,CUBE-4-09.01.2025-MAK-SECOND,8.988,9.34,0.3520000000000003,3.916332888295509,0.26674560000000014
RESIN (a=9 r=4.5),CUBE-4,CUBE-4-09.01.2025-MAK-THIRD,8.988,9.08,0.09200000000000053,1.023587004895422,0.0697176000000006
RESIN (a=9 r=4.5),D-3,D-3-09.01.2025-ANG-FIRST,3.642,4.21,0.5680000000000001,15.595826468973094,0.43043039999999966
RESIN (a=9 r=4.5),D-3,D-3-09.01.2025-ANG-THIRD,3.642,3.58,0.06199999999999983,1.7023613399231146,0.04698360000000035
RESIN (a=9 r=4.5),D-3,D-3-09.01.2025-MAK-FIRST,3.642,3.68,0.038000000000000256,1.0433827567270801,0.028796400000000055
RESIN (a=9 r=4.5),D-3,D-3-09.01.2025-MAK-SECOND,3.642,3.5,0.1419999999999999,3.8989566172432704,0.10760759999999969
RESIN (a=9 r=4.5),D-3,D-3-09.01.2025-MAK-THIRD,3.642,3.24,0.4019999999999997,11.037891268533764,0.3046355999999997
RESIN (a=9 r=4.5),D-4,D-4-09.01.2025-ANG-SECOND,3.694,4.42,0.726,19.65349214943151,0.5501627999999998
RESIN (a=9 r=4.5),D-4,D-4-09.01.2025-ANG-THIRD,3.694,3.48,0.21399999999999997,5.793178126691933,0.16216920000000012
RESIN (a=9 r=4.5),D-4,D-4-09.01.2025-MAK-FIRST,3.694,3.53,0.16400000000000015,4.4396318354087745,0.12427920000000015
RESIN (a=9 r=4.5),D-4,D-4-09.01.2025-MAK-SECOND,3.694,3.82,0.1259999999999999,3.410936654033565,0.09548279999999965
RESIN (a=9 r=4.5),D-4,D-4-09.01.2025-MAK-THIRD,3.694,3.22,0.47399999999999975,12.831618841364369,0.3591972000000001
RESIN (a=9 r=4.5),SP-3,SP-3-09.01.2025-MAK-FIRST,15.659999999999998,15.66,1.7763568394002505e-15,1.1343274836527782e-14,0.0
RESIN (a=9 r=4.5),SP-4,SP-4-09.01.2025-ANG-FIRST,12.993333333333334,14.46,1.4666666666666668,11.28783991790662,1.11144
RESIN (a=9 r=4.5),SP-4,SP-4-09.01.2025-ANG-SECOND,12.993333333333334,13.22,0.22666666666666657,1.7444843509492038,0.17176800000000014
RESIN (a=9 r=4.5),SP-4,SP-4-09.01.2025-ANG-THIRD,12.993333333333334,12.17,0.8233333333333341,6.336582863006676,0.6239220000000003
RESIN (a=9 r=4.5),SP-4,SP-4-09.01.2025-MAK-FIRST,12.993333333333334,12.9,0.09333333333333371,0.7183170856849695,0.07072800000000079
RESIN (a=9 r=4.5),SP-4,SP-4-09.01.2025-MAK-SECOND,12.993333333333334,12.89,0.1033333333333335,0.7952796305797858,0.07830599999999954
RESIN (a=9 r=4.5),SP-4,SP-4-09.01.2025-MAK-THIRD,12.993333333333334,12.32,0.6733333333333338,5.182144689584405,0.5102520000000013
BSP,BSP-46,BSP-46-10.02.2024-ANG-FIRST,4.140000000000001,7.35,3.209999999999999,77.53623188405793,2.432537999999999
BSP,BSP-46,BSP-46-10.02.2024-ANG-SECOND,4.140000000000001,7.27,3.129999999999999,75.60386473429948,2.3719139999999985
BSP,BSP-46,BSP-46-10.02.2024-ANG-THIRD,4.140000000000001,8.01,3.869999999999999,93.47826086956519,2.9326859999999995
BSP,BSP-46,BSP-46-10.02.2024-MAK-SECOND,4.140000000000001,4.39,0.2499999999999991,6.038647342995147,0.18944999999999945
BSP,BSP-46,BSP-46-10.02.2024-MAK-THIRD,4.140000000000001,3.89,0.25000000000000044,6.038647342995178,0.18945000000000034
