code,category,repeat,date,shape_name,shape_enc,a_mm,b_mm,c_mm,density_kg_m3,d_eq_cm,n_points,duration_s,z_travel_cm,settling_velocity_cm_s,horizontal_drift_velocity_cm_s,reynolds_number,drift_cm,drift_normalized,amplitude_cm,amplitude_normalized,drift_gradient,path_length_cm,straight_distance_cm,tortuosity_pct
BSP-1,PA 6,SECOND,25.01.2025,Box Shape Prism,4,3.0,3.0,3.033333333333333,1146.52,0.30110702110075777,158,3.13,28.41245227351614,9.63638302892603,2.52751122909315,289.00224980336793,0.4474636857902565,1.4860619461959481,0.2585706584886657,0.8587334082858918,0.015748858334461577,29.714313567221645,28.422760227844112,4.544081324347498
BSP-1,PA 6,THIRD,25.01.2025,Box Shape Prism,4,3.0,3.0,3.033333333333333,1146.52,0.30110702110075777,168,3.33,28.368865030674847,8.936970844062525,2.5182211073483463,268.02636140637367,0.8679040056481958,2.882377177640683,0.2934577500174268,0.9745961716356945,0.030593539949862063,29.870832119432492,28.393704268955343,5.202307654137921
BSP-11,BSP,SECOND,2.12.23,Box Shape Prism,4,4.83,3.856666666666667,2.8800000000000003,1118.4061013079086,0.37715271717629784,154,3.06,28.5,9.529812031050641,3.9862235688587098,357.9875001683389,0.43349940490112904,1.1494001903173146,0.13583117238911838,0.3601489958923586,0.015210505435127334,32.30455159345183,28.518145664064924,13.27718139176936
BSP-11,BSP,THIRD,2.12.23,Box Shape Prism,4,4.83,3.856666666666667,2.8800000000000003,1118.4061013079086,0.37715271717629784,130,2.59,28.5,11.192299075138113,3.8581106222861847,420.43884538228133,5.152496074493999,13.661564241324276,0.33806098875470986,0.8963503996093053,0.18078933594715785,31.805223891611725,29.031386975869683,9.554613832427641
BSP-16,BSP,FIRST,10.11.23,Box Shape Prism,4,3.84,2.856666666666667,2.7566666666666664,1124.356074662182,0.3115480343232534,124,2.47,28.5,11.808898703767628,4.322748383953723,366.4381652072928,1.0284453961036162,3.301081319089725,0.16558989715647426,0.5315067948227299,0.03608580337205671,31.527080334577757,28.52448515096026,10.52637818956889
BSP-16,BSP,THIRD,10.11.23,Box Shape Prism,4,3.84,2.856666666666667,2.7566666666666664,1124.356074662182,0.3115480343232534,159,3.16,28.5,9.27775220224439,3.723318247863568,287.8949662895891,1.2640420870485638,4.057294374507366,0.5386814877326298,1.729047942487447,0.04435235393152855,32.44125151966335,28.525268069347025,13.728121470397001
BSP-17,BSP,THIRD,9.12.23,Box Shape Prism,4,4.833333333333333,4.816666666666666,2.8666666666666667,1123.8043969887592,0.40562387734368366,150,2.99,28.5,9.84514278195358,3.4095032368344262,397.75149285041743,1.0209403811643087,2.516963221815637,0.17516520860011892,0.43184146295140824,0.03582246951453715,32.075153173156224,28.518142167390085,12.472800594400251
BSP-21,BSP,FIRST,2.12.23,Box Shape Prism,4,3.83,3.79,2.853333333333333,1134.7687412127857,0.3459899611359642,136,2.69,28.5,10.71664663832109,3.116045018573406,369.30798345623253,0.3331028102217349,0.962752818399939,0.15818259330014442,0.45718839003534895,0.011687817902517014,30.550331922008162,28.513226995361897,7.144420822580448
BSP-21,BSP,SECOND,2.12.23,Box Shape Prism,4,3.83,3.79,2.853333333333333,1134.7687412127857,0.3459899611359642,138,2.73,28.5,10.766107621296385,2.9433540605176054,371.0124658842574,0.29048975740210875,0.8395901327551945,0.1956069228101013,0.5653543304201053,0.010192623066740658,30.566205085530896,28.507480515435354,7.221699472813276
BSP-21,BSP,THIRD,2.12.23,Box Shape Prism,4,3.83,3.79,2.853333333333333,1134.7687412127857,0.3459899611359642,134,2.67,28.5,10.806483156038421,2.9115597200006884,372.4038533042017,0.4445657389394923,1.2849093582943312,0.12822633506895317,0.370607096945694,0.015598797857526046,30.402296032305525,28.50302684775382,6.663394714871757
BSP-25,BSP,FIRST,2.12.23,Box Shape Prism,4,3.85,2.813333333333333,2.3266666666666667,1150.7524510145404,0.2931829405831977,160,3.18,28.5,9.267799426377817,3.0806247643104836,270.6335347172033,0.047483125590472575,0.16195732772179525,0.1764562732102641,0.6018640540928417,0.0016660745821218447,31.319645970130093,28.500403986796446,9.891936916542427
BSP-25,BSP,SECOND,2.12.23,Box Shape Prism,4,3.85,2.813333333333333,2.3266666666666667,1150.7524510145404,0.2931829405831977,162,3.21,28.5,9.074504415751298,3.12253332554401,264.9890327634639,0.2537396302451406,0.8654651929624667,0.1212734093620841,0.41364415378619157,0.008903144920882127,31.35250447336101,28.5,10.008787625828102
BSP-25,BSP,THIRD,2.12.23,Box Shape Prism,4,3.85,2.813333333333333,2.3266666666666667,1150.7524510145404,0.2931829405831977,159,3.16,28.5,9.21398925406772,2.899187841122343,269.06219761051375,0.5815183469518774,1.9834658380706758,0.19894153268322987,0.678557668763048,0.020404152524627277,31.026594664484143,28.510321017665763,8.825834143569374
BSP-27,BSP,THIRD,2.12.23,Box Shape Prism,4,2.8800000000000003,2.78,1.7966666666666669,1112.2827155715129,0.24320262866503167,183,3.64,28.5,7.9583008206157535,1.6871784640057463,192.77686048613845,0.9964598216045059,4.097241165007932,0.07494432323626207,0.308155893082408,0.0349635025124388,30.014627587539565,28.524675346893872,5.2233801875958505
BSP-28,BSP,THIRD,9.12.23,Box Shape Prism,4,3.84,2.8666666666666667,2.7833333333333337,1142.337418186882,0.31291367792198543,166,3.29,28.5,9.06084861073062,4.220983227449413,282.39675935040145,1.0467887932914186,3.3452957385659583,0.2717983517106832,0.8686048929393461,0.03672943134355855,32.915617324775226,28.526624926600366,15.385599977101514
BSP-3,PA 6,SECOND,25.01.2025,Box Shape Prism,4,7.900000000000001,7.966666666666666,4.133333333333334,1196.6715130930395,0.6383635129167746,140,2.79,28.5,10.852469553501203,5.347164841629544,690.0219709158733,0.3570396895941806,0.5593046632048485,0.33880646158265004,0.5307422099276863,0.012527708406813354,35.51381354376264,28.500851020119498,24.606151299455952
BSP-3,PA 6,THIRD,25.01.2025,Box Shape Prism,4,7.900000000000001,7.966666666666666,4.133333333333334,1196.6715130930395,0.6383635129167746,129,2.547142857142857,28.457652303120355,11.792174817817147,6.186224821570769,749.7703328317211,0.3578677930101979,0.5606018918203024,0.3157232711878911,0.49458226355279317,0.01257545032873137,36.436867325189915,28.4709002492779,27.979329793458334
BSP-4,PA 6,FIRST,25.01.2025,Box Shape Prism,4,7.883333333333333,7.966666666666666,8.066666666666668,1190.640592916557,0.7971870147759259,106,2.11,28.476050420168068,14.487161089460725,7.941488641050043,1150.296484211668,7.204450323777484,9.037340285582196,1.2291979276976495,1.5419191543695097,0.25300033598321475,34.270441968099426,28.924717736396612,18.481508723510103
BSP-46,BSP,SECOND,10.02.2024,Box Shape Prism,4,4.78,3.8166666666666655,1.0266666666666666,1217.2877642172923,0.26557092736060495,194,3.86,28.5,7.545690074379815,2.5720745748575764,199.5932181901155,1.2391144373031937,4.665851227083546,0.12182247655357915,0.4587191744379563,0.043477699554498025,32.87308084848725,28.52448960457692,15.245115001856407
BSP-46,BSP,THIRD,10.02.2024,Box Shape Prism,4,4.78,3.8166666666666655,1.0266666666666666,1217.2877642172923,0.26557092736060495,216,4.31,28.5,6.910387421468209,3.0105486544195736,182.78864501398127,1.0517143522111734,3.960201376949312,0.10342686877269294,0.3894510208651528,0.03690225797232187,34.29384530799703,28.513082396833127,20.274072198542655
BSP-47,BSP,FIRST,10.02.2024,Box Shape Prism,4,4.76,4.7,2.353333333333333,1179.5146604238705,0.3747969824558513,166,3.31,28.5,8.758034751357528,2.4363360426655616,326.9407367581955,0.6198654064966256,1.653869789545709,0.07306252747301392,0.1949389426624325,0.02174966338584651,31.107603139880446,28.50297014549362,9.138110804212534
BSP-47,BSP,SECOND,10.02.2024,Box Shape Prism,4,4.76,4.7,2.353333333333333,1179.5146604238705,0.3747969824558513,160,3.18,28.5,9.03853688903223,2.1216807392802384,337.4119872335834,0.8798201916946675,2.347458044965196,0.11157034704822612,0.2976820846239561,0.03087088391911114,29.832508241021237,28.51714139823136,4.612548026540477
BSP-47,BSP,THIRD,10.02.2024,Box Shape Prism,4,4.76,4.7,2.353333333333333,1179.5146604238705,0.3747969824558513,164,3.26,28.5,8.873358079549595,1.9376890579116735,331.24580004635817,0.8821071615756678,2.3535599347563436,0.08063851616669215,0.21515252240909077,0.030951128476339223,29.619248726494902,28.514154406382183,3.875599130042488
BSP-49,BSP,FIRST,10.02.2024,Box Shape Prism,4,2.853333333333333,2.303333333333333,1.78,1094.159573751902,0.2270090136241442,174,3.45,28.5,8.40094724248922,2.8654507448221027,189.94927759222628,1.2994966484428183,5.724427535702955,0.16700613942579623,0.7356806532021943,0.04559637362957257,31.111649353373046,28.53621380798545,9.025148054739121
BSP-49,BSP,SECOND,10.02.2024,Box Shape Prism,4,2.853333333333333,2.303333333333333,1.78,1094.159573751902,0.2270090136241442,191,3.8,28.5,7.581396352275615,1.5760393365419139,171.4188553609335,1.6235474084457664,7.1519072415946106,0.08191601963404248,0.3608491941631434,0.05696657573493917,29.542553017816832,28.55078056920781,3.4737139540018585
BSP-5,BSP,FIRST,01.11.23,Box Shape Prism,4,3.843333333333333,2.7999999999999994,2.32,1081.4580938994018,0.2922703028626287,202,4.03,28.5,7.308506599577153,1.7475579545609434,212.75492403704533,0.8972835733272934,3.0700470233851633,0.15935124232952322,0.5452187265307643,0.031483634151834854,29.71834343122437,28.520622931354808,4.199489270456359
BSP-5,BSP,SECOND,01.11.23,Box Shape Prism,4,3.843333333333333,2.7999999999999994,2.32,1081.4580938994018,0.2922703028626287,180,3.57,28.5,8.279802505474633,2.0081428503675602,241.02991891611777,1.0989794449448897,3.7601474873806326,0.1365523122211522,0.4672124087999929,0.03856068227876806,29.69072582218913,28.53041868491461,4.066912407030423
BSP-5,BSP,THIRD,01.11.23,Box Shape Prism,4,3.843333333333333,2.7999999999999994,2.32,1081.4580938994018,0.2922703028626287,184,3.67,28.5,8.017868670136838,1.9961949011506959,233.40487096948956,1.5959639213192978,5.46057504196526,0.16722777111552983,0.5721681932020625,0.05599873408137887,29.82647478959026,28.551284767973304,4.466313974940176
BSP-50,BSP,FIRST,10.02.2024,Box Shape Prism,4,2.833333333333333,2.856666666666667,2.78,1115.505426669715,0.2823150374542299,160,3.17,28.5,9.363175570880673,2.9879792889378582,263.2833926278593,3.1444431452275676,11.138064672652648,0.411610030067523,1.4579812459839476,0.11033133842903746,30.55614234298587,28.70342935569098,6.45467468132882
BSP-50,BSP,SECOND,10.02.2024,Box Shape Prism,4,2.833333333333333,2.856666666666667,2.78,1115.505426669715,0.2823150374542299,161,3.2,28.5,9.146493105992958,2.9402068315574668,257.190492409687,0.8201045177493721,2.904926797894465,0.25016873992736177,0.886133243851455,0.028775597114013056,30.99572065784173,28.501758924865324,8.750202889410588
BSP-50,BSP,THIRD,10.02.2024,Box Shape Prism,4,2.833333333333333,2.856666666666667,2.78,1115.505426669715,0.2823150374542299,162,3.23,28.5,9.084277339332383,3.097718766757211,255.44104554763285,1.2020303871733309,4.257762526617835,0.32697362337381036,1.1581870605345301,0.04217650481309933,30.926349105786045,28.551382532837135,8.31821916230307
BSP-6,BSP,FIRST,10.11.23,Box Shape Prism,4,4.8566666666666665,3.8333333333333335,2.31,1116.1289547491092,0.3503555117832415,148,2.95,28.5,10.158643323169189,2.650518358639404,354.495685309995,0.5134964405602948,1.4656439624617226,0.106880741173377,0.30506367840304494,0.018017418967027885,30.08652729192306,28.508522733635406,5.5352028340137895
BSP-6,BSP,SECOND,10.11.23,Box Shape Prism,4,4.8566666666666665,3.8333333333333335,2.31,1116.1289547491092,0.3503555117832415,185,3.68,28.5,7.810223918073352,1.9434088837072891,272.5453185217433,0.7133787016281651,2.0361566398576296,0.14316220134100344,0.4086198062429092,0.025030831636075966,29.880762665810742,28.50257687202107,4.835302435909009
BSP-6,BSP,THIRD,10.11.23,Box Shape Prism,4,4.8566666666666665,3.8333333333333335,2.31,1116.1289547491092,0.3503555117832415,155,3.08,28.5,9.333778294261409,1.9430085019319867,325.71122222681936,0.6820087923997599,1.9466192751712899,0.08200258771610966,0.23405536650110748,0.02393013306665824,29.58140512224751,28.50504203870891,3.776044540039384
BSP-9,BSP,FIRST,2.12.23,Box Shape Prism,4,4.87,4.846666666666667,2.333333333333333,1125.752165862433,0.38046639153606854,190,3.77,28.5,7.646353620911137,1.6789876670312394,289.75902097179403,0.33690204314270444,0.885497512099609,0.12059084043152364,0.3169553030549126,0.011821124320796647,29.83565626469261,28.502946411964107,4.675691535416485
BSP-9,BSP,SECOND,2.12.23,Box Shape Prism,4,4.87,4.846666666666667,2.333333333333333,1125.752165862433,0.38046639153606854,152,3.01,28.5,9.67320128634413,2.589693936554624,366.5665326710565,0.8415291479522786,2.2118357013210743,0.14973191656108972,0.393548339333134,0.029527338524641355,30.85781431029553,28.513810717435774,8.220590422263108
