category,code,shape_name,velocity_mean,predicted,error,abs_error,pct_error
PLA C,C-25,Cylinder,3.3120000000000003,3.7839200000000015,-0.4719200000000012,0.4719200000000012,14.248792270531437
PLA C,C-26,Cylinder,6.88,4.923001666666665,1.9569983333333347,1.9569983333333347,28.444743217054285
PLA C,C-27,Cylinder,6.674,5.182575000000001,1.4914249999999996,1.4914249999999996,22.34679352712016
PLA C,C-28,Cylinder,6.793333333333334,4.958668333333332,1.834665000000002,1.834665000000002,27.006844946025545
PLA C,C-29,Cylinder,4.035,3.524234999999999,0.510765000000001,0.510765000000001,12.658364312267684
PLA C,C-3,Cylinder,6.658333333333334,4.947805,1.7105283333333343,1.7105283333333343,25.69003754693368
PLA C,C-5,Cylinder,5.779999999999999,5.429415000000003,0.35058499999999615,0.35058499999999615,6.065484429065679
PLA C,C-6,Cylinder,6.415000000000001,5.04324,1.371760000000001,1.371760000000001,21.383632112236956
PLA C,C-7,Cylinder,6.488333333333333,4.898894999999999,1.5894383333333346,1.5894383333333346,24.496866170048825
PLA C,C-8,Cylinder,6.445,5.181416666666667,1.263583333333333,1.263583333333333,19.605637445047837
PLA C,C-9,Cylinder,7.240000000000001,5.153688333333336,2.0863116666666652,2.0863116666666652,28.8164594843462
PLA CUBE,CUBE-1,Cube,5.43,4.4769992777777805,0.9530007222222192,0.9530007222222192,17.550657867812507
PLA CUBE,CUBE-10,Cube,6.048333333333333,3.969792777777783,2.07854055555555,2.07854055555555,34.36550932304574
PLA CUBE,CUBE-11,Cube,5.829999999999999,3.6269863888888927,2.2030136111111065,2.2030136111111065,37.78754049933288
PLA CUBE,CUBE-13,Cube,3.5725,3.7139844444444488,-0.14148444444444896,0.14148444444444896,3.9603763315451075
PLA CUBE,CUBE-14,Cube,5.868333333333333,5.4480644444444435,0.4202688888888897,0.4202688888888897,7.161639685695366
PLA CUBE,CUBE-15,Cube,6.0840000000000005,4.5858595000000015,1.498140499999999,1.498140499999999,24.624268573307013
PLA CUBE,CUBE-16,Cube,6.0075,5.47322888888889,0.53427111111111,0.53427111111111,8.893401766310612
PLA CUBE,CUBE-17,Cube,3.86,3.860598333333333,-0.0005983333333330343,0.0005983333333330343,0.015500863557850629
PLA CUBE,CUBE-18,Cube,6.73,6.022063722222222,0.7079362777777787,0.7079362777777787,10.519112596995225
PLA CUBE,CUBE-19,Cube,5.755,3.7971224999999964,1.9578775000000035,1.9578775000000035,34.020460469157314
PLA CUBE,CUBE-2,Cube,6.28,3.5491987500000057,2.7308012499999945,2.7308012499999945,43.48409633757953
