date,view,repeat,category,code,velocity_ms,cat_excel,a,b,c,material,density,d_eq,volume,surface_area,sphericity,L,I,S,aspect_ratio,CSF,cat_enc,mat_enc,view_enc
01.11.23,ANG,SECOND,C,C-2,0.0382,ABS C,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,0
01.11.23,ANG,SECOND,C,C-2,0.0382,PLA C,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,0
01.11.23,ANG,SECOND,C,C-2,0.0382,RESIN (a=9 r=4.5),1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,0
01.11.23,ANG,SECOND,C,C-2,0.0382,RESIN (a=6 r=3),1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,0
01.11.23,ANG,SECOND,C,C-2,0.0382,PA 6,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,0
01.11.23,ANG,SECOND,WSP,WSP-11,0.0233,WSP,4.02,1.6,2.85,Plexiglass,1150,2.6367176838678814,18.3312,44.897999999999996,0.7488319961830875,4.02,2.85,1.6,2.5124999999999997,0.47269882863805895,10,0,0
01.11.23,ANG,SECOND,WSP,WSP-2,0.0425,WSP,3.5,3.5,2.34,Plexiglass,1150,3.060440792581834,28.665,57.25999999999999,0.7910441895685751,3.5,3.5,2.34,1.4957264957264957,0.6685714285714285,10,0,0
01.11.23,ANG,THIRD,BSP,BSP-1,0.049100000000000005,BSP,4.86,4.84,2.34,Plexiglass,1150,3.8039298218700504,55.042415999999996,92.4408,0.7569817711719261,4.86,4.84,2.34,2.076923076923077,0.4824752523663835,2,0,0
01.11.23,ANG,THIRD,BSP,BSP-1,0.049100000000000005,PA 6,4.86,4.84,2.34,Plexiglass,1150,3.8039298218700504,55.042415999999996,92.4408,0.7569817711719261,4.86,4.84,2.34,2.076923076923077,0.4824752523663835,2,0,0
01.11.23,ANG,THIRD,BSP,BSP-5,0.056799999999999996,BSP,3.84,2.8,2.32,Plexiglass,1150,2.921857828166022,24.944639999999996,52.313599999999994,0.7892010920434782,3.84,2.8,2.32,1.6551724137931034,0.7075275528876865,2,0,0
01.11.23,ANG,THIRD,HC,HC-2,0.044800000000000006,HC,4.78,2.31,2.88,Plexiglass,1150,3.1681868576652543,31.800384,62.922000000000004,0.7714418269712194,4.78,2.88,2.31,2.069264069264069,0.6225894938274077,4,0,0
01.11.23,ANG,THIRD,HC,HC-2,0.044800000000000006,ABS HC,4.78,2.31,2.88,Plexiglass,1150,3.1681868576652543,31.800384,62.922000000000004,0.7714418269712194,4.78,2.88,2.31,2.069264069264069,0.6225894938274077,4,0,0
01.11.23,ANG,THIRD,HC,HC-2,0.044800000000000006,PA 6,4.78,2.31,2.88,Plexiglass,1150,3.1681868576652543,31.800384,62.922000000000004,0.7714418269712194,4.78,2.88,2.31,2.069264069264069,0.6225894938274077,4,0,0
01.11.23,ANG,THIRD,WSP,WSP-2,0.0406,WSP,3.49,3.52,2.35,Plexiglass,1150,3.0676936279088527,28.869280000000003,57.51660000000001,0.7912521214667002,3.52,3.49,2.35,1.4978723404255319,0.6704768959767009,10,0,0
01.11.23,MAK,FIRST,BSP,BSP-5,0.0371,BSP,3.86,2.81,2.32,Plexiglass,1150,2.930402007376663,25.164112,52.641999999999996,0.7888712885861735,3.86,2.81,2.32,1.663793103448276,0.7044354002488402,2,0,1
01.11.23,MAK,FIRST,C,C-2,0.027000000000000003,C,4.87,1.0,4.85,Plexiglass,1150,2.869174087638695,23.6195,66.679,0.5970474480332275,4.87,4.85,1.0,4.87,0.2057617524470572,3,0,1
01.11.23,MAK,FIRST,C,C-2,0.027000000000000003,ABS C,4.87,1.0,4.85,Plexiglass,1150,2.869174087638695,23.6195,66.679,0.5970474480332275,4.87,4.85,1.0,4.87,0.2057617524470572,3,0,1
01.11.23,MAK,FIRST,C,C-2,0.027000000000000003,PLA C,4.87,1.0,4.85,Plexiglass,1150,2.869174087638695,23.6195,66.679,0.5970474480332275,4.87,4.85,1.0,4.87,0.2057617524470572,3,0,1
01.11.23,MAK,FIRST,C,C-2,0.027000000000000003,RESIN (a=9 r=4.5),4.87,1.0,4.85,Plexiglass,1150,2.869174087638695,23.6195,66.679,0.5970474480332275,4.87,4.85,1.0,4.87,0.2057617524470572,3,0,1
01.11.23,MAK,FIRST,C,C-2,0.027000000000000003,RESIN (a=6 r=3),4.87,1.0,4.85,Plexiglass,1150,2.869174087638695,23.6195,66.679,0.5970474480332275,4.87,4.85,1.0,4.87,0.2057617524470572,3,0,1
01.11.23,MAK,FIRST,C,C-2,0.027000000000000003,PA 6,4.87,1.0,4.85,Plexiglass,1150,2.869174087638695,23.6195,66.679,0.5970474480332275,4.87,4.85,1.0,4.87,0.2057617524470572,3,0,1
01.11.23,MAK,SECOND,BSP,BSP-1,0.0337,BSP,4.83,4.82,2.33,Plexiglass,1150,3.7854428742340436,54.24379800000001,91.53020000000001,0.7570997564971561,4.83,4.82,2.33,2.072961373390558,0.4829018136873169,2,0,1
01.11.23,MAK,SECOND,BSP,BSP-1,0.0337,PA 6,4.83,4.82,2.33,Plexiglass,1150,3.7854428742340436,54.24379800000001,91.53020000000001,0.7570997564971561,4.83,4.82,2.33,2.072961373390558,0.4829018136873169,2,0,1
01.11.23,MAK,SECOND,BSP,BSP-5,0.0375,BSP,3.83,2.79,2.32,Plexiglass,1150,2.915839762684165,24.790824,52.0882,0.7893544882508976,3.83,2.79,2.32,1.6508620689655173,0.7097191051089827,2,0,1
01.11.23,MAK,SECOND,C,C-2,0.0275,C,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,1
01.11.23,MAK,SECOND,C,C-2,0.0275,ABS C,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,1
01.11.23,MAK,SECOND,C,C-2,0.0275,PLA C,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,1
01.11.23,MAK,SECOND,C,C-2,0.0275,RESIN (a=9 r=4.5),1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,1
01.11.23,MAK,SECOND,C,C-2,0.0275,RESIN (a=6 r=3),1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,1
01.11.23,MAK,SECOND,C,C-2,0.0275,PA 6,1.01,4.79,1.01,Plexiglass,1150,1.6969123886252426,4.886279,21.3918,0.6509619974229953,4.79,1.01,1.01,4.742574257425742,0.4591905376808366,3,0,1
01.11.23,MAK,SECOND,WSP,WSP-2,0.0279,WSP,3.5,3.5,2.34,Plexiglass,1150,3.060440792581834,28.665,57.25999999999999,0.7910441895685751,3.5,3.5,2.34,1.4957264957264957,0.6685714285714285,10,0,1
01.11.23,MAK,THIRD,BSP,BSP-1,0.0316,BSP,4.86,4.84,2.34,Plexiglass,1150,3.8039298218700504,55.042415999999996,92.4408,0.7569817711719261,4.86,4.84,2.34,2.076923076923077,0.4824752523663835,2,0,1
01.11.23,MAK,THIRD,BSP,BSP-1,0.0316,PA 6,4.86,4.84,2.34,Plexiglass,1150,3.8039298218700504,55.042415999999996,92.4408,0.7569817711719261,4.86,4.84,2.34,2.076923076923077,0.4824752523663835,2,0,1
01.11.23,MAK,THIRD,BSP,BSP-5,0.0369,BSP,3.84,2.8,2.32,Plexiglass,1150,2.921857828166022,24.944639999999996,52.313599999999994,0.7892010920434782,3.84,2.8,2.32,1.6551724137931034,0.7075275528876865,2,0,1
01.11.23,MAK,THIRD,HC,HC-2,0.0195,HC,4.78,2.31,2.88,Plexiglass,1150,3.1681868576652543,31.800384,62.922000000000004,0.7714418269712194,4.78,2.88,2.31,2.069264069264069,0.6225894938274077,4,0,1
01.11.23,MAK,THIRD,HC,HC-2,0.0195,ABS HC,4.78,2.31,2.88,Plexiglass,1150,3.1681868576652543,31.800384,62.922000000000004,0.7714418269712194,4.78,2.88,2.31,2.069264069264069,0.6225894938274077,4,0,1
01.11.23,MAK,THIRD,HC,HC-2,0.0195,PA 6,4.78,2.31,2.88,Plexiglass,1150,3.1681868576652543,31.800384,62.922000000000004,0.7714418269712194,4.78,2.88,2.31,2.069264069264069,0.6225894938274077,4,0,1
01.11.23,MAK,THIRD,WSP,WSP-2,0.0287,WSP,3.49,3.52,2.35,Plexiglass,1150,3.0676936279088527,28.869280000000003,57.51660000000001,0.7912521214667002,3.52,3.49,2.35,1.4978723404255319,0.6704768959767009,10,0,1
03.02.2024,ANG,FIRST,BSP,BSP-20,0.0554,BSP,4.83,4.79,2.88,Plexiglass,1150,4.05407436340096,66.630816,101.68260000000001,0.7816654264679181,4.83,4.79,2.88,1.6770833333333335,0.5987577747361287,2,0,0
03.02.2024,ANG,FIRST,BSP,BSP-37,0.051699999999999996,BSP,3.8,2.71,2.85,Plexiglass,1150,3.0846028049127563,29.3493,57.703,0.7974146862574545,3.8,2.85,2.71,1.4022140221402213,0.8234838050020452,2,0,0
03.02.2024,ANG,FIRST,BSP,BSP-39,0.049400000000000006,BSP,2.83,2.32,1.73,Plexiglass,1150,2.247881990402627,11.358488,30.950200000000002,0.7895282615570733,2.83,2.32,1.73,1.6358381502890174,0.6751634021427926,2,0,0
03.02.2024,ANG,FIRST,BSP,BSP-41,0.0572,BSP,3.82,2.87,2.78,Plexiglass,1150,3.123657091260088,30.478251999999998,59.1232,0.798091887532715,3.82,2.87,2.78,1.3741007194244605,0.8395994899794239,2,0,0
03.02.2024,ANG,FIRST,BSP,BSP-44,0.0629,BSP,3.74,3.77,2.34,Plexiglass,1150,3.2073247573935935,32.993531999999995,63.346399999999996,0.7853225333592859,3.77,3.74,2.34,1.6111111111111112,0.6231740800008286,2,0,0
03.02.2024,ANG,FIRST,C,C-38,0.04650000000000001,C,3.82,0.99,3.78,Plexiglass,1150,2.426964660033234,14.295203999999998,43.9272,0.6484515130786654,3.82,3.78,0.99,3.8585858585858586,0.26052992426216776,3,0,0
03.02.2024,ANG,FIRST,C,C-41,0.0496,C,1.8,2.9,1.82,Plexiglass,1150,2.117941516788046,9.500399999999999,27.548,0.7874481689995811,2.9,1.82,1.8,1.611111111111111,0.7834978556007405,3,0,0
03.02.2024,ANG,FIRST,HC,HC-18,0.0429,HC,3.76,1.87,2.29,Plexiglass,1150,2.525156569711573,16.101448,39.84780000000001,0.7738493070916086,3.76,2.29,1.87,2.010695187165775,0.6372794920442757,4,0,0
03.02.2024,ANG,FIRST,HC,HC-19,0.043,HC,3.69,1.83,2.28,Plexiglass,1150,2.487734912117904,15.396155999999998,38.6766,0.7738272826580503,3.69,2.28,1.83,2.0163934426229506,0.6309144628853924,4,0,0
03.02.2024,ANG,FIRST,HC,HC-20,0.043899999999999995,HC,3.68,1.86,2.28,Plexiglass,1150,2.498993941859782,15.606143999999999,38.952,0.775326752622372,3.68,2.28,1.86,1.978494623655914,0.64212800537435,4,0,0
03.02.2024,ANG,FIRST,HC,HC-39,0.035,HC,3.71,1.9,1.0,Plexiglass,1150,1.9173843143321136,7.0489999999999995,25.317999999999998,0.7022197976350525,3.71,1.9,1.0,3.71,0.37664850218440876,4,0,0
03.02.2024,ANG,FIRST,WSP,WSP-36,0.0298,WSP,2.52,1.6,2.39,Plexiglass,1150,2.128005803967813,9.63648,27.7576,0.7889469973994799,2.52,2.39,1.6,1.575,0.6519597158387745,10,0,0
03.02.2024,ANG,FIRST,WSP,WSP-37,0.039599999999999996,WSP,2.49,2.49,1.02,Plexiglass,1150,1.8492670093514443,6.324102000000001,22.5594,0.7330875157719353,2.49,2.49,1.02,2.4411764705882355,0.40963855421686746,10,0,0
03.02.2024,ANG,FIRST,WSP,WSP-38,0.030299999999999997,WSP,4.42,1.69,1.0,Plexiglass,1150,1.954802975066467,7.469799999999999,27.159599999999998,0.6804038112965284,4.42,1.69,1.0,4.42,0.3658857647342262,10,0,0
03.02.2024,ANG,FIRST,WSP,WSP-39,0.037000000000000005,WSP,2.49,2.51,1.06,Plexiglass,1150,1.8781328602951015,6.624894,23.099800000000002,0.7384626378623543,2.51,2.49,1.06,2.3679245283018866,0.42400339204070453,10,0,0
03.02.2024,ANG,FIRST,WSP,WSP-40,0.0318,WSP,3.31,1.7,2.86,Plexiglass,1150,2.5247263697207982,16.09322,39.9112,0.7723567935057665,3.31,2.86,1.7,1.947058823529412,0.5525249677861105,10,0,0
03.02.2024,ANG,SECOND,BSP,BSP-20,0.061,BSP,4.82,4.82,2.86,Plexiglass,1150,4.050295441537426,66.444664,101.60560000000001,0.7808001464421298,4.82,4.82,2.86,1.6853146853146854,0.5933609958506223,2,0,0
03.02.2024,ANG,SECOND,BSP,BSP-37,0.0555,BSP,3.77,2.72,2.86,Plexiglass,1150,3.083841835458149,29.327584,57.6316,0.7980087240387741,3.77,2.86,2.72,1.3860294117647058,0.8283525478094296,2,0,0
03.02.2024,ANG,SECOND,BSP,BSP-39,0.0256,BSP,2.82,2.31,1.74,Plexiglass,1150,2.2463121810763838,11.334708,30.8808,0.7901977816667818,2.82,2.31,1.74,1.6206896551724137,0.6817398868189477,2,0,0
03.02.2024,ANG,SECOND,BSP,BSP-41,0.0599,BSP,3.84,2.87,2.8,Plexiglass,1150,3.1365849249069666,30.858239999999995,59.617599999999996,0.7980383045288395,3.84,2.87,2.8,1.3714285714285714,0.8434347122457898,2,0,0
03.02.2024,ANG,SECOND,C,C-38,0.0438,C,0.99,3.82,0.99,Plexiglass,1150,1.5527847268862232,3.7439819999999995,17.0874,0.6823868355248424,3.82,0.99,0.99,3.8585858585858586,0.5090798598107388,3,0,0
03.02.2024,ANG,SECOND,C,C-42,0.0464,C,1.02,3.82,0.98,Plexiglass,1150,1.5630152071674026,3.818472,17.2792,0.6837335644917075,3.82,1.02,0.98,3.8979591836734695,0.496471483458709,3,0,0
03.02.2024,ANG,SECOND,HC,HC-18,0.0425,HC,3.75,1.87,2.28,Plexiglass,1150,2.5192382429228477,15.988499999999998,39.65219999999999,0.7740255867973552,3.75,2.28,1.87,2.0053475935828877,0.6395265061330795,4,0,0
03.02.2024,ANG,SECOND,HC,HC-19,0.0431,HC,3.68,1.81,2.28,Plexiglass,1150,2.476397822779879,15.186623999999998,38.355999999999995,0.7731996371695253,3.68,2.28,1.81,2.0331491712707184,0.624866499853534,4,0,0
03.02.2024,ANG,SECOND,HC,HC-20,0.0417,HC,3.7,1.85,2.28,Plexiglass,1150,2.499018281208414,15.6066,38.998000000000005,0.7744273028537035,3.7,2.28,1.85,2.0,0.6369472147564231,4,0,0
03.02.2024,ANG,SECOND,WSP,WSP-39,0.0353,WSP,2.49,2.5,1.06,Plexiglass,1150,1.8756353402473833,6.5985000000000005,23.0288,0.7387706450171557,2.5,2.49,1.06,2.3584905660377355,0.42485055250978726,10,0,0
03.02.2024,ANG,SECOND,WSP,WSP-40,0.0323,WSP,3.33,1.68,2.85,Plexiglass,1150,2.516900952317635,15.944040000000001,39.7458,0.7707705841575667,3.33,2.85,1.68,1.9821428571428572,0.5453367115563341,10,0,0
03.02.2024,ANG,THIRD,BSP,BSP-20,0.0623,BSP,4.84,4.74,2.86,Plexiglass,1150,4.033325252509062,65.612976,100.6808,0.7813829988261831,4.84,4.74,2.86,1.6923076923076923,0.5971097758270129,2,0,0
03.02.2024,ANG,THIRD,BSP,BSP-39,0.04769999999999999,BSP,2.82,2.32,1.72,Plexiglass,1150,2.2408967497955428,11.252927999999997,30.766399999999997,0.7893164170249377,2.82,2.32,1.72,1.6395348837209303,0.6724498488492748,2,0,0
03.02.2024,ANG,THIRD,BSP,BSP-44,0.051500000000000004,BSP,3.73,3.76,2.34,Plexiglass,1150,3.2016278176334714,32.818031999999995,63.1028,0.7855560608581654,3.76,3.73,2.34,1.606837606837607,0.6248381228960915,2,0,0
03.02.2024,ANG,THIRD,HC,HC-18,0.0449,HC,3.73,1.85,2.29,Plexiglass,1150,2.5094122526620013,15.802145000000001,39.3574,0.7737519422709324,3.73,2.29,1.85,2.016216216216216,0.6329939677395672,4,0,0
03.02.2024,ANG,THIRD,HC,HC-19,0.0438,HC,3.68,1.82,2.28,Plexiglass,1150,2.48095003490554,15.270528,38.4752,0.7736406376642421,3.68,2.28,1.82,2.021978021978022,0.6283188009576972,4,0,0
03.02.2024,ANG,THIRD,HC,HC-20,0.0462,HC,3.71,1.85,2.27,Plexiglass,1150,2.4976054404995303,15.580145,38.9694,0.7741196094156375,3.71,2.27,1.85,2.0054054054054054,0.6374877518196195,4,0,0
03.02.2024,ANG,THIRD,WSP,WSP-40,0.032400000000000005,WSP,3.32,1.68,2.85,Plexiglass,1150,2.514379005786743,15.896159999999998,39.6552,0.7709841742930963,3.32,2.85,1.68,1.9761904761904763,0.5461573842727827,10,0,0
06.11.2024,ANG,FIRST,ABS C,C-14,0.038,C,2.79,2.91,2.83,Plexiglass,1150,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-14,0.038,ABS C,2.79,2.91,2.83,Plexiglass,1150,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-14,0.038,PLA C,2.79,2.91,2.83,Plexiglass,1150,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-17,0.0388,ABS C,4.78,1.02,4.71,Plexiglass,1150,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-17,0.0388,PLA C,4.78,1.02,4.71,Plexiglass,1150,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-7,0.0349,ABS C,2.78,2.34,2.85,Plexiglass,1150,2.6466824510631226,18.53982,42.1944,0.8028473614449325,2.85,2.78,2.34,1.217948717948718,0.8313253607089217,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-7,0.0349,PLA C,2.78,2.34,2.85,Plexiglass,1150,2.6466824510631226,18.53982,42.1944,0.8028473614449325,2.85,2.78,2.34,1.217948717948718,0.8313253607089217,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-8,0.0482,C,1.8,2.34,1.83,Plexiglass,1150,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-8,0.0482,ABS C,1.8,2.34,1.83,Plexiglass,1150,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-8,0.0482,PLA C,1.8,2.34,1.83,Plexiglass,1150,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,0,0,0
