Klasor,experiment,category,particle_code,Video Suresi (sn),Boyut Tipi,a_v,b_v,c_v,material_v,Kaynak,velocity_ms,view,particle_code_clean,a_mm,b_mm,c_mm,volume_mm3,surface_area_mm2,density_kg_m3,weight_g,matched,L,I,S,d_eq,sphericity,aspect_ratio,CSF,flatness,elongation,density_ratio,density_diff,category_encoded,view_encoded
IC CAPTURE 30.10.2024-MAK,SECOND,ABS C,C-3,3.88,"a, b, c (mm)",1.03,4.79,1.02,Plexiglass,Part 1 (2023-2024),0.0735,MAK,C-3,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1168.577961975711,0.7223,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.168577961975711,168.5779619757111,0,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS C,C-5,4.8,"a, b, c (mm)",2.83,4.81,2.82,Plexiglass,Part 1 (2023-2024),0.0594,MAK,C-5,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1181.1972449653422,0.7301,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1811972449653423,181.19724496534218,0,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS C,C-6,5.2,"a, b, c (mm)",2.86,3.85,2.85,Plexiglass,Part 1 (2023-2024),0.0548,MAK,C-6,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1181.0354592859878,0.73,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1810354592859877,181.03545928598783,0,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS C,C-9,5.78,"a, b, c (mm)",2.29,3.8,2.28,Plexiglass,Part 1 (2023-2024),0.0493,MAK,C-9,2.29,3.8,2.28,19.84056,45.1744,1200.0,,False,3.8,2.29,2.28,2.7071852511924996,0.7845627455479859,1.6666666666666667,0.7729035597432291,0.9956331877729256,0.6026315789473684,1.2,200.0,0,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS C,C-12,4.58,"a, b, c (mm)",2.32,2.85,2.33,Plexiglass,Part 1 (2023-2024),0.0622,MAK,C-12,2.32,2.85,2.33,15.40596,37.3162,1200.0,,False,2.85,2.33,2.32,2.4882628486132474,0.802378389047133,1.2284482758620692,0.9003007135932241,0.9957081545064377,0.8175438596491228,1.2,200.0,0,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS C,C-15,5.84,"a, b, c (mm)",2.9,2.83,2.9,Plexiglass,Part 1 (2023-2024),0.0488,MAK,C-15,2.9,2.83,2.9,23.8003,49.648,1200.0,,False,2.9,2.9,2.83,2.8764763683804313,0.8059423681960483,1.0247349823321554,0.9758620689655173,0.9758620689655173,1.0,1.2,200.0,0,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS CUBE,CUBE-3,4.42,"Diameter, Height (mm)",5.54,5.49,,ABS,Part 2 (2024-2025),0.0645,MAK,CUBE-3,5.54,5.49,5.515000000000001,167.73651900000002,182.4901,1135.0,,False,5.54,5.515000000000001,5.49,5.514962223978176,0.8059904561505424,1.0091074681238614,0.993218279157308,0.9954669084315503,0.9954873646209387,1.135,135.0,1,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS CUBE,CUBE-5,4.52,"Diameter, Height (mm)",5.66,5.6,,ABS,Part 2 (2024-2025),0.0631,MAK,CUBE-5,5.66,5.6,5.63,178.44848,190.1796,1135.0,,False,5.66,5.63,5.6,5.62994671352763,0.8059883483956491,1.010714285714286,0.992031845948143,0.9946714031971581,0.9946996466431095,1.135,135.0,1,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS CUBE,CUBE-9,5.32,"Diameter, Height (mm)",5.57,5.22,,ABS,Part 2 (2024-2025),0.0536,MAK,CUBE-9,5.57,5.22,5.395,156.86178299999997,174.57489999999999,1135.0,,False,5.57,5.395,5.22,5.393107151846441,0.8057130922623069,1.067049808429119,0.9522416670808043,0.9675625579240037,0.9685816876122081,1.135,135.0,1,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS CUBE,CUBE-10,4.4,"Diameter, Height (mm)",5.52,5.68,,ABS,Part 2 (2024-2025),0.0648,MAK,CUBE-10,5.52,5.68,5.6,175.58015999999998,188.14719999999997,1135.0,,False,5.68,5.6,5.52,5.59961902170098,0.8059411398892715,1.028985507246377,0.9787480197255575,0.9857142857142857,0.9859154929577465,1.135,135.0,1,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS EC,EC-6,6.26,"Diameter, Height (mm)",3.92,2.35,,ABS,Part 2 (2024-2025),0.0455,MAK,EC-6,3.92,2.35,3.135,28.879619999999996,57.73689999999999,1135.0,,False,3.92,3.135,2.35,3.0680598322370187,0.7884212334678475,1.6680851063829787,0.6703568571437674,0.7496012759170655,0.7997448979591837,1.135,135.0,2,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS EC,EC-7,6.66,"Diameter, Height (mm)",3.54,2.75,,ABS,Part 2 (2024-2025),0.0428,MAK,EC-7,3.54,2.75,3.145,30.616574999999997,59.034099999999995,1135.0,,False,3.54,3.145,2.75,3.1283754460570656,0.801712979871345,1.2872727272727273,0.8241774692406331,0.8744038155802861,0.8884180790960452,1.135,135.0,2,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS EC,EC-8,7.08,"Diameter, Height (mm)",3.12,2.54,,ABS,Part 2 (2024-2025),0.0403,MAK,EC-8,3.12,2.54,2.83,22.427184,47.8852,1135.0,,False,3.12,2.83,2.54,2.820059351902075,0.8031549054785252,1.2283464566929134,0.8547974183620022,0.8975265017667844,0.907051282051282,1.135,135.0,2,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS EC,EC-9,8.18,"Diameter, Height (mm)",3.53,2.19,,ABS,Part 2 (2024-2025),0.0348,MAK,EC-9,3.53,2.19,2.86,22.109802,48.1798,1135.0,,False,3.53,2.86,2.19,2.8066932560739186,0.7906950752715963,1.6118721461187213,0.6892451925105308,0.7657342657342657,0.8101983002832861,1.135,135.0,2,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS HC,HC-3,6.84,"a, b, c (mm)",4.7,2.36,2.33,Plexiglass,Part 1 (2023-2024),0.0417,MAK,HC-3,4.7,2.36,2.33,25.84436,55.083600000000004,1200.0,,False,4.7,2.36,2.33,2.956572914589834,0.7674303960038175,2.017167381974249,0.6996019165837832,0.9872881355932204,0.502127659574468,1.2,200.0,3,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS HC,HC-5,6.06,"a, b, c (mm)",4.66,2.26,2.35,Plexiglass,Part 1 (2023-2024),0.047,MAK,HC-5,4.66,2.26,2.35,24.74926,53.587199999999996,1200.0,,False,4.66,2.35,2.26,2.9142092970753453,0.7664159565307826,2.0619469026548676,0.6829384266024132,0.9617021276595743,0.5042918454935622,1.2,200.0,3,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS HC,HC-7,9.12,"a, b, c (mm)",4.76,2.3,2.29,Plexiglass,Part 1 (2023-2024),0.0312,MAK,HC-7,4.76,2.3,2.29,25.070919999999997,54.23079999999999,1200.0,,False,4.76,2.3,2.29,2.9267800789610257,0.7638679598845487,2.078602620087336,0.6920987868267604,0.9956521739130436,0.4831932773109244,1.2,200.0,3,1
IC CAPTURE 30.10.2024-MAK,SECOND,ABS HC,HC-9,6.84,"a, b, c (mm)",3.73,1.83,2.84,Plexiglass,Part 1 (2023-2024),0.0417,MAK,HC-9,3.73,1.83,2.84,19.385555999999998,45.2326,1200.0,,False,3.73,2.84,1.83,2.6863303610498552,0.7715275054377304,2.0382513661202184,0.5622604085142334,0.6443661971830986,0.7613941018766756,1.2,200.0,3,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS C,C-7,4.5,"a, b, c (mm)",2.78,2.34,2.85,Plexiglass,Part 1 (2023-2024),0.0633,MAK,C-7,2.78,2.34,2.85,18.53982,42.1944,1200.0,,False,2.85,2.78,2.34,2.6466824510631226,0.8028473614449325,1.217948717948718,0.8313253607089217,0.841726618705036,0.975438596491228,1.2,200.0,0,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS C,C-8,4.34,"a, b, c (mm)",1.8,2.34,1.83,Plexiglass,Part 1 (2023-2024),0.0657,MAK,C-8,1.8,2.34,1.83,7.70796,23.5764,1200.0,,False,2.34,1.83,1.8,1.9753610406560558,0.8003862173052022,1.2999999999999998,0.869839312029283,0.9836065573770492,0.7820512820512822,1.2,200.0,0,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS C,C-13,6.4,"a, b, c (mm)",2.78,2.88,2.8,Plexiglass,Part 1 (2023-2024),0.0445,MAK,C-13,2.78,2.88,2.8,22.417919999999995,47.7088,1200.0,,False,2.88,2.8,2.78,2.819671004323257,0.8059025094604069,1.0359712230215827,0.9789703450605317,0.9928571428571429,0.9722222222222222,1.2,200.0,0,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS C,C-14,5.62,"a, b, c (mm)",2.79,2.91,2.83,Plexiglass,Part 1 (2023-2024),0.0507,MAK,C-14,2.79,2.91,2.83,22.976487000000002,48.4998,1200.0,,False,2.91,2.83,2.79,2.84289755023306,0.8058729812943641,1.043010752688172,0.9722198659285329,0.9858657243816255,0.9725085910652921,1.2,200.0,0,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS C,C-17,4.74,"a, b, c (mm)",4.78,1.02,4.71,Plexiglass,Part 1 (2023-2024),0.0601,MAK,C-17,4.78,1.02,4.71,22.964076000000002,64.3872,1200.0,,False,4.78,4.71,1.02,2.8423855840032393,0.6068069814178432,4.686274509803922,0.21496896718006778,0.21656050955414013,0.9853556485355648,1.2,200.0,0,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS CUBE,CUBE-6,4.8,"Diameter, Height (mm)",5.57,5.64,,ABS,Part 2 (2024-2025),0.0594,MAK,CUBE-6,5.57,5.64,5.605,176.07995400000001,188.49370000000002,1135.0,,False,5.64,5.605,5.57,5.604927147432505,0.8059855007121547,1.0125673249551166,0.9906673152907657,0.9937555753791257,0.9937943262411348,1.135,135.0,1,1
IC CAPTURE 06.11.2024-MAK,FIRST,ABS CUBE,CUBE-12,5.42,"Diameter, Height (mm)",3.63,3.29,,ABS,Part 2 (2024-2025),0.0526,MAK,CUBE-12,3.63,3.29,3.46,41.321742,71.7718,1135.0,,False,3.63,3.46,3.29,3.4572135562086506,0.8053463612102524,1.1033434650455927,0.9283345971606458,0.9508670520231214,0.953168044077135,1.135,135.0,1,1
IC CAPTURE 06.11.2024-MAK,SECOND,ABS C,C-8,3.96,"a, b, c (mm)",2.32,1.83,2.33,Plexiglass,Part 1 (2023-2024),0.072,MAK,C-8,2.32,1.83,2.33,9.892247999999999,27.830199999999998,1200.0,,False,2.33,2.32,1.83,2.1466685741702545,0.8007515614635695,1.273224043715847,0.7870985942872109,0.7887931034482759,0.9957081545064377,1.2,200.0,0,1
IC CAPTURE 06.11.2024-MAK,SECOND,ABS C,C-17,3.94,"a, b, c (mm)",0.99,4.76,0.99,Plexiglass,Part 1 (2023-2024),0.0723,MAK,C-17,0.99,4.76,0.99,4.6652759999999995,20.8098,1200.0,,False,4.76,0.99,0.99,1.6709332992982509,0.6488352647814275,4.808080808080808,0.45605174407879523,1.0,0.20798319327731093,1.2,200.0,0,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-1,2.6,"a, b, c (mm)",4.8,0.98,4.84,Plexiglass,Part 1 (2023-2024),0.1096,MAK,C-1,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1156.767607382851,0.715,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.156767607382851,156.7676073828511,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-3,2.8,"a, b, c (mm)",4.78,1.01,4.8,Plexiglass,Part 1 (2023-2024),0.1018,MAK,C-3,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1168.577961975711,0.7223,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.168577961975711,168.5779619757111,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-5,2.42,"a, b, c (mm)",4.8,2.82,4.81,Plexiglass,Part 1 (2023-2024),0.1178,MAK,C-5,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1181.1972449653422,0.7301,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1811972449653423,181.19724496534218,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-9,2.5,"a, b, c (mm)",3.74,2.28,3.84,Plexiglass,Part 1 (2023-2024),0.114,MAK,C-9,3.74,2.28,3.84,32.744448,63.288,1200.0,,False,3.84,3.74,2.28,3.1992331495793978,0.7820860425741889,1.6842105263157896,0.6016354715620673,0.6096256684491977,0.9739583333333334,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-16,2.96,"a, b, c (mm)",2.78,2.88,2.81,Plexiglass,Part 1 (2023-2024),0.0963,MAK,C-16,2.78,2.88,2.81,22.497984,47.822,1200.0,,False,2.88,2.81,2.78,2.8230237672965095,0.8059079842712121,1.0359712230215827,0.9772268524122348,0.98932384341637,0.9756944444444445,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-19,13.36,"a, b, c (mm)",4.8,2.84,4.79,Plexiglass,Part 1 (2023-2024),0.0213,MAK,C-19,4.8,2.84,4.79,65.29728,100.45519999999999,1200.0,,False,4.8,4.79,2.84,4.026846085500322,0.7806237537914391,1.6901408450704225,0.5922839507851699,0.5929018789144049,0.9979166666666667,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-21,2.92,"a, b, c (mm)",2.78,2.89,3.83,Plexiglass,Part 1 (2023-2024),0.0976,MAK,C-21,2.78,2.89,3.83,30.770986,59.500600000000006,1200.0,,False,3.83,2.89,2.78,3.133625824011031,0.7980995288662395,1.3776978417266188,0.8355962601500686,0.9619377162629756,0.7545691906005222,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-25,4.78,"a, b, c (mm)",4.78,2.85,4.76,Plexiglass,Part 1 (2023-2024),0.0596,MAK,C-25,4.78,2.85,4.76,64.84548000000001,99.8836,1200.0,,False,4.78,4.76,2.85,4.0175371662501025,0.781465381796415,1.6771929824561405,0.5974855897187749,0.5987394957983194,0.9958158995815899,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA C,C-27,2.56,"a, b, c (mm)",4.84,2.85,4.79,Plexiglass,Part 1 (2023-2024),0.1113,MAK,C-27,4.84,2.85,4.79,66.07326,101.2582,1200.0,,False,4.84,4.79,2.85,4.042734726524977,0.780556620346888,1.6982456140350877,0.5919082899077811,0.5949895615866388,0.9896694214876034,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-1,2.6,"Diameter, Height (mm)",5.69,5.64,,ABS,Part 2 (2024-2025),0.1096,MAK,CUBE-1,5.69,5.64,5.665,181.798914,192.5521,1135.0,,False,5.69,5.665,5.64,5.664963224239049,0.8059907446502822,1.0088652482269505,0.9933973878678197,0.9955869373345101,0.9956063268892794,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-2,2.8,"Diameter, Height (mm)",5.36,5.51,,ABS,Part 2 (2024-2025),0.1018,MAK,CUBE-2,5.36,5.51,5.4350000000000005,160.515116,177.22410000000002,1135.0,,False,5.51,5.4350000000000005,5.36,5.4346549918991585,0.8059448099810298,1.0279850746268655,0.9794656640444538,0.9862005519779209,0.986388384754991,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-3,2.9,"Diameter, Height (mm)",5.56,5.55,,ABS,Part 2 (2024-2025),0.0983,MAK,CUBE-3,5.56,5.55,5.555,171.41618999999997,185.1481,1135.0,,False,5.56,5.555,5.55,5.554998499849579,0.8059957593456729,1.0018018018018018,0.9986505733773163,0.9990999099909991,0.9991007194244604,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-4,3.04,"Diameter, Height (mm)",5.58,5.07,,ABS,Part 2 (2024-2025),0.0937,MAK,CUBE-4,5.58,5.07,5.325,150.647445,170.0037,1135.0,,False,5.58,5.325,5.07,5.320926462069489,0.8053789317164431,1.1005917159763312,0.930103018497914,0.9521126760563381,0.9543010752688172,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-7,3.16,"Diameter, Height (mm)",3.53,3.34,,ABS,Part 2 (2024-2025),0.0902,MAK,CUBE-7,3.53,3.34,3.4349999999999996,40.49933699999999,70.77729999999998,1135.0,,False,3.53,3.4349999999999996,3.34,3.4341239881616183,0.8057903752423271,1.0568862275449102,0.9591703457810151,0.9723435225618633,0.9730878186968838,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-11,3.14,"Diameter, Height (mm)",5.57,5.25,,ABS,Part 2 (2024-2025),0.0908,MAK,CUBE-11,5.57,5.25,5.41,158.201925,175.5574,1135.0,,False,5.57,5.41,5.25,5.408422213955613,0.8057608457611152,1.060952380952381,0.9563856986777572,0.9704251386321626,0.9712746858168761,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-14,2.88,"Diameter, Height (mm)",5.02,3.99,,PLA,Part 2 (2024-2025),0.099,MAK,CUBE-14,5.02,3.99,4.505,90.23424899999999,121.2397,1200.0,,False,5.02,4.505,3.99,4.48528939519071,0.8024541181879438,1.2581453634085211,0.8390225618814962,0.8856825749167593,0.8974103585657371,1.2,200.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-23,3.28,"Diameter, Height (mm)",4.94,3.8,,PLA,Part 2 (2024-2025),0.0869,MAK,CUBE-23,4.94,3.8,4.37,82.03364,113.9316,1200.0,,False,4.94,4.37,3.8,4.345075503558222,0.8013727730999334,1.3000000000000003,0.8178608201095307,0.8695652173913043,0.8846153846153846,1.2,200.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA CUBE,CUBE-27,2.9,"Diameter, Height (mm)",5.2,5.03,,PLA,Part 2 (2024-2025),0.0983,MAK,CUBE-27,5.2,5.03,5.115,133.78794000000002,156.9649,1200.0,,False,5.2,5.115,5.03,5.114529119246292,0.80592177115663,1.033797216699801,0.9753118349670139,0.9833822091886608,0.9836538461538462,1.2,200.0,9,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA HC,HC-1,3.7,"a, b, c (mm)",4.78,2.33,2.31,Plexiglass,Part 1 (2023-2024),0.077,MAK,HC-1,4.78,2.33,2.31,25.727394000000004,55.123000000000005,1200.0,,False,4.78,2.33,2.31,2.952105898405023,0.7645662867015965,2.069264069264069,0.6921816329064218,0.9914163090128755,0.48744769874476984,1.2,200.0,10,1
IC CAPTURE 16.11.2024-MAK,FIRST,PLA HC,HC-2,4.26,"a, b, c (mm)",4.75,2.32,2.88,Plexiglass,Part 1 (2023-2024),0.0669,MAK,HC-2,4.75,2.32,2.88,31.737599999999997,62.7632,1200.0,,False,4.75,2.88,2.32,3.1661004835708395,0.7723754025330235,2.0474137931034484,0.6272561617056152,0.8055555555555556,0.6063157894736841,1.2,200.0,10,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-1,3.16,"a, b, c (mm)",0.97,4.77,1.0,Plexiglass,Part 1 (2023-2024),0.0902,MAK,C-1,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1156.767607382851,0.715,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.156767607382851,156.7676073828511,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-3,2.86,"a, b, c (mm)",1.03,4.79,1.02,Plexiglass,Part 1 (2023-2024),0.0997,MAK,C-3,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1168.577961975711,0.7223,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.168577961975711,168.5779619757111,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-5,2.44,"a, b, c (mm)",2.83,4.81,2.82,Plexiglass,Part 1 (2023-2024),0.1168,MAK,C-5,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1181.1972449653422,0.7301,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1811972449653423,181.19724496534218,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-9,2.38,"a, b, c (mm)",2.29,3.8,2.28,Plexiglass,Part 1 (2023-2024),0.1197,MAK,C-9,2.29,3.8,2.28,19.84056,45.1744,1200.0,,False,3.8,2.29,2.28,2.7071852511924996,0.7845627455479859,1.6666666666666667,0.7729035597432291,0.9956331877729256,0.6026315789473684,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-16,2.94,"a, b, c (mm)",2.89,2.83,2.9,Plexiglass,Part 1 (2023-2024),0.0969,MAK,C-16,2.89,2.83,2.9,23.718230000000002,49.5334,1200.0,,False,2.9,2.89,2.83,2.8731662660683024,0.8059488922864089,1.0247349823321554,0.9775489536627123,0.9792387543252595,0.9965517241379311,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-19,4.5,"a, b, c (mm)",2.87,4.78,2.85,Plexiglass,Part 1 (2023-2024),0.0633,MAK,C-19,2.87,4.78,2.85,39.09801,71.04220000000001,1200.0,,False,4.78,2.87,2.85,3.394049858361234,0.7841590482552622,1.6771929824561405,0.7694669367160787,0.9930313588850174,0.600418410041841,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-21,2.6,"a, b, c (mm)",2.89,3.81,2.89,Plexiglass,Part 1 (2023-2024),0.1096,MAK,C-21,2.89,3.81,2.89,31.821501000000005,60.747800000000005,1200.0,,False,3.81,2.89,2.89,3.1688879791619295,0.7994058906605142,1.3183391003460208,0.8709363832835519,1.0,0.7585301837270342,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA C,C-25,4.68,"a, b, c (mm)",2.86,4.77,2.83,Plexiglass,Part 1 (2023-2024),0.0609,MAK,C-25,2.86,4.77,2.83,38.607426,70.47019999999999,1200.0,,False,4.77,2.86,2.83,3.3797944041231713,0.7838973306097616,1.6855123674911658,0.7662036727921263,0.9895104895104896,0.59958071278826,1.2,200.0,8,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-1,3.16,"Diameter, Height (mm)",5.69,5.67,,ABS,Part 2 (2024-2025),0.0902,MAK,CUBE-1,5.69,5.67,5.68,183.249864,193.57420000000002,1135.0,,False,5.69,5.68,5.67,5.679994131449335,0.8059951442559258,1.0035273368606703,0.9973618633189906,0.9982394366197184,0.9982425307557117,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-2,3.02,"Diameter, Height (mm)",5.23,5.5,,ABS,Part 2 (2024-2025),0.0944,MAK,CUBE-2,5.23,5.5,5.365,154.324225,172.6629,1135.0,,False,5.5,5.365,5.23,5.363867421688095,0.8058257913125362,1.0516252390057361,0.9627986684384193,0.9748369058713887,0.9754545454545455,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-3,1.66,"Diameter, Height (mm)",5.54,5.49,,ABS,Part 2 (2024-2025),0.1717,MAK,CUBE-3,5.54,5.49,5.515000000000001,167.73651900000002,182.4901,1135.0,,False,5.54,5.515000000000001,5.49,5.514962223978176,0.8059904561505424,1.0091074681238614,0.993218279157308,0.9954669084315503,0.9954873646209387,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-4,2.54,"Diameter, Height (mm)",5.57,5.05,,ABS,Part 2 (2024-2025),0.1122,MAK,CUBE-4,5.57,5.05,5.3100000000000005,149.362335,169.0414,1135.0,,False,5.57,5.3100000000000005,5.05,5.305753038567582,0.8053508224216135,1.102970297029703,0.9285740015020012,0.9510357815442559,0.9533213644524238,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-7,3.34,"Diameter, Height (mm)",3.5,3.29,,ABS,Part 2 (2024-2025),0.0853,MAK,CUBE-7,3.5,3.29,3.395,39.093425,69.1341,1135.0,,False,3.5,3.395,3.29,3.3939171804496246,0.8057388263364204,1.0638297872340425,0.9544253952256019,0.9690721649484536,0.97,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-11,3.2,"Diameter, Height (mm)",5.62,5.19,,ABS,Part 2 (2024-2025),0.0891,MAK,CUBE-11,5.62,5.19,5.405,157.65195900000003,175.19170000000003,1135.0,,False,5.62,5.405,5.19,5.402147739631544,0.8055704222771636,1.0828516377649324,0.9416756725734836,0.9602220166512488,0.9617437722419929,1.135,135.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-14,2.86,"Diameter, Height (mm)",4.99,3.98,,PLA,Part 2 (2024-2025),0.0997,MAK,CUBE-14,4.99,3.98,4.485,89.07299700000002,120.18130000000002,1200.0,,False,4.99,4.485,3.98,4.465965409946651,0.8025607883376327,1.2537688442211057,0.841301330167544,0.8874024526198439,0.8987975951903808,1.2,200.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-23,3.22,"Diameter, Height (mm)",4.97,3.81,,PLA,Part 2 (2024-2025),0.0885,MAK,CUBE-23,4.97,3.81,4.39,83.127723,114.9598,1200.0,,False,4.97,4.39,3.81,4.364307021722331,0.8012512400994967,1.3044619422572177,0.8156700596418156,0.8678815489749431,0.8832997987927566,1.2,200.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA CUBE,CUBE-27,2.94,"Diameter, Height (mm)",5.2,5.03,,PLA,Part 2 (2024-2025),0.0969,MAK,CUBE-27,5.2,5.03,5.115,133.78794000000002,156.9649,1200.0,,False,5.2,5.115,5.03,5.114529119246292,0.80592177115663,1.033797216699801,0.9753118349670139,0.9833822091886608,0.9836538461538462,1.2,200.0,9,1
IC CAPTURE 16.11.2024-MAK,SECOND,PLA HC,HC-1,3.64,"a, b, c (mm)",4.79,2.33,2.31,Plexiglass,Part 1 (2023-2024),0.0783,MAK,HC-1,4.79,2.33,2.31,25.781217,55.2158,1200.0,,False,4.79,2.33,2.31,2.9541631157247483,0.7643454743855419,2.0735930735930737,0.6914587276095516,0.9914163090128755,0.48643006263048016,1.2,200.0,10,1
IC CAPTURE 16.11.2024-MAK,THIRD,PLA C,C-1,2.68,"a, b, c (mm)",4.803333333333334,0.9833333333333334,,Plexiglass,Part 1 (2023-2024),0.1063,MAK,C-1,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1156.767607382851,0.715,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.156767607382851,156.7676073828511,8,1
