Klasor,experiment,category,particle_code,Video Suresi (sn),Boyut Tipi,a_v,b_v,c_v,material_v,Kaynak,velocity_ms,view,particle_code_clean,a_mm,b_mm,c_mm,volume_mm3,surface_area_mm2,density_kg_m3,weight_g,matched,L,I,S,d_eq,sphericity,aspect_ratio,CSF,flatness,elongation,density_ratio,density_diff,category_encoded,view_encoded
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-1,5.26,"a, b, c (mm)",4.86,4.84,2.34,Plexiglass,Part 1 (2023-2024),0.0542,MAK,BSP-1,4.86,4.84,2.34,55.042415999999996,92.4408,1200.0,,False,4.86,4.84,2.34,3.8039298218700504,0.7569817711719261,2.076923076923077,0.4824752523663835,0.4834710743801653,0.9958847736625513,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-5,4.54,"a, b, c (mm)",3.84,2.8,2.32,Plexiglass,Part 1 (2023-2024),0.0628,MAK,BSP-5,3.84,2.8,2.32,24.944639999999996,52.313599999999994,1200.0,,False,3.84,2.8,2.32,2.921857828166022,0.7892010920434782,1.6551724137931034,0.7075275528876865,0.8285714285714285,0.7291666666666666,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),THIRD,C,C-2,6.44,"a, b, c (mm)",4.836666666666666,1.006666666666667,,Plexiglass,Part 1 (2023-2024),0.0443,MAK,C-2,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1158.7090355351022,0.7162,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1587090355351022,158.7090355351022,5,1
IC CAPTURE 01.11.23(MAK),THIRD,HC,HC-2,5.62,"a, b, c (mm)",4.78,2.31,2.88,Plexiglass,Part 1 (2023-2024),0.0507,MAK,HC-2,4.78,2.31,2.88,31.800384,62.922000000000004,1200.0,,False,4.78,2.88,2.31,3.1681868576652543,0.7714418269712194,2.069264069264069,0.6225894938274077,0.8020833333333334,0.6025104602510459,1.2,200.0,6,1
IC CAPTURE 01.11.23(MAK),THIRD,WSP,WSP-2,5.82,"a, b, c (mm)",3.49,3.52,2.35,Plexiglass,Part 1 (2023-2024),0.049,MAK,WSP-2,3.49,3.52,2.35,28.869280000000003,57.51660000000001,1200.0,,False,3.52,3.49,2.35,3.0676936279088527,0.7912521214667002,1.4978723404255319,0.6704768959767009,0.673352435530086,0.9914772727272728,1.2,200.0,14,1
IC CAPTURE 06.11.23(MAK),FIRST,BSP,BSP-3,3.4,"a, b, c (mm)",4.82,3.83,2.89,Plexiglass,Part 1 (2023-2024),0.0838,MAK,BSP-3,4.82,3.83,2.89,53.35113400000001,86.91820000000001,1200.0,,False,4.82,3.83,2.89,3.764562845658882,0.7885014638182306,1.6678200692041523,0.6726279916202577,0.7545691906005222,0.7946058091286307,1.2,200.0,4,1
IC CAPTURE 06.11.23(MAK),FIRST,BSP,BSP-26,4.4,"a, b, c (mm)",4.81,4.78,1.05,Plexiglass,Part 1 (2023-2024),0.0648,MAK,BSP-26,4.81,4.78,1.05,24.141389999999998,66.12259999999999,1200.0,,False,4.81,4.78,1.05,2.8901524885316303,0.6109078659979044,4.580952380952381,0.21897917365770553,0.2196652719665272,0.9937629937629939,1.2,200.0,4,1
IC CAPTURE 06.11.23(MAK),FIRST,C,C-4,3.86,"a, b, c (mm)",4.75,2.84,4.78,Plexiglass,Part 1 (2023-2024),0.0738,MAK,C-4,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1171.3283185247333,0.724,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1713283185247332,171.32831852473328,5,1
IC CAPTURE 06.11.23(MAK),FIRST,C,C-26,2.52,"a, b, c (mm)",3.78,2.82,3.85,Plexiglass,Part 1 (2023-2024),0.1131,MAK,C-26,3.78,2.82,3.85,41.03946,72.13919999999999,1200.0,,False,3.85,3.78,2.82,3.4493231186240205,0.7975915809707346,1.3652482269503547,0.7392185280134136,0.746031746031746,0.9818181818181817,1.2,200.0,5,1
IC CAPTURE 06.11.23(MAK),FIRST,HC,HC-4,4.38,"a, b, c (mm)",4.76,2.28,2.9,Plexiglass,Part 1 (2023-2024),0.0651,MAK,HC-4,4.76,2.28,2.9,31.473119999999994,62.53759999999999,1200.0,,False,4.76,2.9,2.28,3.157281216484611,0.7708492352596809,2.0877192982456143,0.6136664376252237,0.786206896551724,0.6092436974789917,1.2,200.0,6,1
IC CAPTURE 06.11.23(MAK),FIRST,HC,HC-30,6.32,"a, b, c (mm)",1.71,0.77,2.89,Plexiglass,Part 1 (2023-2024),0.0451,MAK,HC-30,1.71,0.77,2.89,3.805263,16.9678,1200.0,,False,2.89,1.71,0.77,1.561210844929877,0.6946750593895824,3.7532467532467533,0.34637277466731875,0.45029239766081874,0.5916955017301038,1.2,200.0,6,1
IC CAPTURE 06.11.23(MAK),FIRST,WSP,WSP-4,1.22,"a, b, c (mm)",3.53,3.48,2.84,Plexiglass,Part 1 (2023-2024),0.2336,MAK,WSP-4,3.53,3.48,2.84,34.887696,64.3856,1200.0,,False,3.53,3.48,2.84,3.2675639536127536,0.8019431280776426,1.2429577464788732,0.8102916534042348,0.8160919540229885,0.9858356940509916,1.2,200.0,14,1
IC CAPTURE 06.11.23(MAK),FIRST,WSP,WSP-19,5.1,"a, b, c (mm)",4.04,1.59,2.84,Plexiglass,Part 1 (2023-2024),0.0559,MAK,WSP-19,4.04,1.59,2.84,18.243024000000002,44.825599999999994,1200.0,,False,4.04,2.84,1.59,2.6324832093545893,0.7476343258194457,2.540880503144654,0.4694045249083805,0.5598591549295775,0.7029702970297029,1.2,200.0,14,1
IC CAPTURE 06.11.23(MAK),SECOND,BSP,BSP-3,3.34,"a, b, c (mm)",4.8,3.81,2.88,Plexiglass,Part 1 (2023-2024),0.0853,MAK,BSP-3,4.8,3.81,2.88,52.66944,86.1696,1200.0,,False,4.8,3.81,2.88,3.7484601677976874,0.7885620055258008,1.6666666666666667,0.6734562399195765,0.7559055118110236,0.7937500000000001,1.2,200.0,4,1
IC CAPTURE 06.11.23(MAK),SECOND,C,C-4,2.88,"a, b, c (mm)",2.85,4.79,2.85,Plexiglass,Part 1 (2023-2024),0.099,MAK,C-4,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1171.3283185247333,0.724,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1713283185247332,171.32831852473328,5,1
IC CAPTURE 06.11.23(MAK),SECOND,C,C-26,2.48,"a, b, c (mm)",2.84,3.82,2.82,Plexiglass,Part 1 (2023-2024),0.1149,MAK,C-26,2.84,3.82,2.82,30.593615999999994,59.25999999999999,1200.0,,False,3.82,2.84,2.82,3.12759327351644,0.7982575194211605,1.3546099290780143,0.856166551338582,0.9929577464788732,0.743455497382199,1.2,200.0,5,1
IC CAPTURE 06.11.23(MAK),SECOND,HC,HC-4,4.1,"a, b, c (mm)",4.76,2.27,2.89,Plexiglass,Part 1 (2023-2024),0.0695,MAK,HC-4,4.76,2.27,2.89,31.227028,62.2438,1200.0,,False,4.76,2.89,2.27,3.1490306247032804,0.7704452719727575,2.0969162995594712,0.6120310553688352,0.7854671280276816,0.6071428571428572,1.2,200.0,6,1
IC CAPTURE 06.11.23(MAK),SECOND,WSP,WSP-4,4.06,"a, b, c (mm)",3.55,3.48,2.83,Plexiglass,Part 1 (2023-2024),0.0702,MAK,WSP-4,3.55,3.48,2.83,34.961819999999996,64.4978,1200.0,,False,3.55,3.48,2.83,3.2698764554133817,0.8016815920794712,1.2544169611307419,0.8051608265515919,0.8132183908045977,0.9802816901408451,1.2,200.0,14,1
IC CAPTURE 06.11.23(MAK),SECOND,WSP,WSP-19,5.56,"a, b, c (mm)",4.04,1.61,2.85,Plexiglass,Part 1 (2023-2024),0.0513,MAK,WSP-19,4.04,1.61,2.85,18.537540000000003,45.213800000000006,1200.0,,False,4.04,2.85,1.61,2.6465739515671904,0.7491713886274561,2.5093167701863353,0.4744743761743053,0.5649122807017544,0.7054455445544554,1.2,200.0,14,1
IC CAPTURE 06.11.23(MAK),THIRD,BSP,BSP-3,3.44,"a, b, c (mm)",4.81,3.82,2.88,Plexiglass,Part 1 (2023-2024),0.0828,MAK,BSP-3,4.81,3.82,2.88,52.91769599999999,86.4572,1200.0,,False,4.81,3.82,2.88,3.754340361066039,0.7884065846898021,1.6701388888888888,0.6718746697371617,0.7539267015706806,0.7941787941787942,1.2,200.0,4,1
IC CAPTURE 06.11.23(MAK),THIRD,C,C-4,2.8,"a, b, c (mm)",4.773333333333333,2.846666666666666,,Plexiglass,Part 1 (2023-2024),0.1018,MAK,C-4,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1171.3283185247333,0.724,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1713283185247332,171.32831852473328,5,1
IC CAPTURE 06.11.23(MAK),THIRD,C,C-26,2.46,"a, b, c (mm)",3.816666666666666,2.826666666666667,,Plexiglass,Part 1 (2023-2024),0.1159,MAK,C-26,3.816666666666666,2.826666666666667,3.3216666666666663,35.835616296296294,65.71076666666666,1200.0,,False,3.816666666666666,3.3216666666666663,2.826666666666667,3.296893811050172,0.7999401751354549,1.3502358490566033,0.7938792621916013,0.8509784244857002,0.8703056768558952,1.2,200.0,5,1
IC CAPTURE 06.11.23(MAK),THIRD,HC,HC-4,4.02,"a, b, c (mm)",4.78,2.27,2.89,Plexiglass,Part 1 (2023-2024),0.0709,MAK,HC-4,4.78,2.27,2.89,31.358234000000003,62.45020000000001,1200.0,,False,4.78,2.89,2.27,3.153434869078609,0.7700483984760618,2.105726872246696,0.6107493135318885,0.7854671280276816,0.604602510460251,1.2,200.0,6,1
