date,view,repeat,category,code,velocity_ms,category_norm,material,a,b,c,density,d_eq,volume,surface_area,sphericity,L,I,S,aspect_ratio,CSF,delta_rho,cat_enc,mat_enc,view_enc
01.11.23,ANG,FIRST,BSP,BSP-1,0.053399999999999996,BSP,Plexiglass,4.846666666666667,4.836666666666667,2.34,1148.5115909612796,3.7995752987960736,54.853604,92.20142222222222,0.7572104791587373,4.846666666666667,4.836666666666667,2.34,2.0712250712250713,0.4833049048761737,148.51159096127958,2,5,0
01.11.23,ANG,FIRST,BSP,BSP-5,0.0567,BSP,Plexiglass,3.8433333333333333,2.7999999999999994,2.32,1081.4580938994018,2.922703028626287,24.966293333333326,52.34773333333332,0.7891428433526539,3.8433333333333333,2.7999999999999994,2.32,1.656609195402299,0.7072206660578567,81.45809389940177,2,5,0
01.11.23,ANG,FIRST,C,C-8,0.0441,C,Plexiglass,1.82,2.33,1.82,1380.2040017278966,1.976209119142478,7.717892000000002,23.587200000000003,0.8007068298633939,2.33,1.82,1.82,1.2802197802197801,0.8838076034003816,380.20400172789664,3,5,0
01.11.23,ANG,FIRST,HC,HC-2,0.0384,HC,Plexiglass,4.766666666666667,2.31,2.8766666666666665,1117.4791152936064,3.1640167057979487,31.674976666666662,62.73642222222222,0.7716882941635123,4.766666666666667,2.8766666666666665,2.31,2.0634920634920633,0.6238207521935117,117.47911529360636,4,5,0
01.11.23,ANG,FIRST,HC,HC-23,0.0383,HC,Plexiglass,2.736666666666667,1.3,2.2866666666666666,1095.565886278867,2.011203603920687,8.135197777777778,25.576355555555555,0.7648170144293689,2.736666666666667,2.2866666666666666,1.3,2.105128205128205,0.5196739779744324,95.56588627886708,4,5,0
01.11.23,ANG,FIRST,WSP,WSP-2,0.039900000000000005,WSP,Plexiglass,3.49,3.516666666666666,2.3466666666666662,1236.073628322845,3.0652743101640594,28.8010311111111,57.43095555555554,0.7911826829877571,3.516666666666666,3.49,2.3466666666666662,1.4985795454545454,0.6698431005985057,236.07362832284502,12,5,0
01.11.23,ANG,SECOND,BSP,BSP-1,0.0524,BSP,Plexiglass,4.846666666666667,4.836666666666667,2.34,1148.5115909612796,3.7995752987960736,54.853604,92.20142222222222,0.7572104791587373,4.846666666666667,4.836666666666667,2.34,2.0712250712250713,0.4833049048761737,148.51159096127958,2,5,0
01.11.23,ANG,SECOND,BSP,BSP-5,0.053399999999999996,BSP,Plexiglass,3.8433333333333333,2.7999999999999994,2.32,1081.4580938994018,2.922703028626287,24.966293333333326,52.34773333333332,0.7891428433526539,3.8433333333333333,2.7999999999999994,2.32,1.656609195402299,0.7072206660578567,81.45809389940177,2,5,0
01.11.23,ANG,SECOND,WSP,WSP-11,0.0233,WSP,Plexiglass,4.026666666666667,1.6133333333333333,2.85,1285.4622857247791,2.645482434020683,18.514613333333337,45.140711111111116,0.7497655686085813,4.026666666666667,2.85,1.6133333333333333,2.495867768595042,0.4762432542246992,285.4622857247791,12,5,0
01.11.23,ANG,SECOND,WSP,WSP-2,0.0425,WSP,Plexiglass,3.49,3.516666666666666,2.3466666666666662,1236.073628322845,3.0652743101640594,28.8010311111111,57.43095555555554,0.7911826829877571,3.516666666666666,3.49,2.3466666666666662,1.4985795454545454,0.6698431005985057,236.07362832284502,12,5,0
01.11.23,ANG,THIRD,BSP,BSP-1,0.049100000000000005,BSP,Plexiglass,4.846666666666667,4.836666666666667,2.34,1148.5115909612796,3.7995752987960736,54.853604,92.20142222222222,0.7572104791587373,4.846666666666667,4.836666666666667,2.34,2.0712250712250713,0.4833049048761737,148.51159096127958,2,5,0
01.11.23,ANG,THIRD,BSP,BSP-5,0.056799999999999996,BSP,Plexiglass,3.8433333333333333,2.7999999999999994,2.32,1081.4580938994018,2.922703028626287,24.966293333333326,52.34773333333332,0.7891428433526539,3.8433333333333333,2.7999999999999994,2.32,1.656609195402299,0.7072206660578567,81.45809389940177,2,5,0
01.11.23,ANG,THIRD,HC,HC-2,0.044800000000000006,HC,Plexiglass,4.766666666666667,2.31,2.8766666666666665,1117.4791152936064,3.1640167057979487,31.674976666666662,62.73642222222222,0.7716882941635123,4.766666666666667,2.8766666666666665,2.31,2.0634920634920633,0.6238207521935117,117.47911529360636,4,5,0
01.11.23,ANG,THIRD,WSP,WSP-2,0.0406,WSP,Plexiglass,3.49,3.516666666666666,2.3466666666666662,1236.073628322845,3.0652743101640594,28.8010311111111,57.43095555555554,0.7911826829877571,3.516666666666666,3.49,2.3466666666666662,1.4985795454545454,0.6698431005985057,236.07362832284502,12,5,0
01.11.23,MAK,FIRST,BSP,BSP-5,0.0371,BSP,Plexiglass,3.8433333333333333,2.7999999999999994,2.32,1081.4580938994018,2.922703028626287,24.966293333333326,52.34773333333332,0.7891428433526539,3.8433333333333333,2.7999999999999994,2.32,1.656609195402299,0.7072206660578567,81.45809389940177,2,5,1
01.11.23,MAK,SECOND,BSP,BSP-1,0.0337,BSP,Plexiglass,4.846666666666667,4.836666666666667,2.34,1148.5115909612796,3.7995752987960736,54.853604,92.20142222222222,0.7572104791587373,4.846666666666667,4.836666666666667,2.34,2.0712250712250713,0.4833049048761737,148.51159096127958,2,5,1
01.11.23,MAK,SECOND,BSP,BSP-5,0.0375,BSP,Plexiglass,3.8433333333333333,2.7999999999999994,2.32,1081.4580938994018,2.922703028626287,24.966293333333326,52.34773333333332,0.7891428433526539,3.8433333333333333,2.7999999999999994,2.32,1.656609195402299,0.7072206660578567,81.45809389940177,2,5,1
