date,view,repeat,category,code,velocity_ms,cat_excel,a,b,c,material,measured_density,density,d_eq,volume,surface_area,sphericity,L,I,S,aspect_ratio,CSF,delta_rho,cat_enc,mat_enc,view_enc
01.11.23,ANG,FIRST,BSP,BSP-1,0.053399999999999996,BSP,4.85,4.85,2.35,Plexiglass,1148.5115909612796,1148.5115909612796,3.809346222810445,55.277874999999995,92.63499999999999,0.7575475738081365,4.85,4.85,2.35,2.0638297872340425,0.48453608247422686,148.51159096127958,2,0,0
01.11.23,ANG,FIRST,BSP,BSP-1,0.053399999999999996,PA 6,4.85,4.85,2.35,Plexiglass,1148.5115909612796,1148.5115909612796,3.809346222810445,55.277874999999995,92.63499999999999,0.7575475738081365,4.85,4.85,2.35,2.0638297872340425,0.48453608247422686,148.51159096127958,2,0,0
01.11.23,ANG,FIRST,BSP,BSP-5,0.0567,BSP,3.86,2.81,2.32,Plexiglass,1081.4580938994018,1081.4580938994018,2.930402007376663,25.164112,52.641999999999996,0.7888712885861735,3.86,2.81,2.32,1.663793103448276,0.7044354002488402,81.45809389940177,2,0,0
01.11.23,ANG,FIRST,C,C-8,0.0441,C,1.8,2.34,1.83,Plexiglass,1380.2040017278966,1380.2040017278966,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,380.20400172789664,3,0,0
01.11.23,ANG,FIRST,C,C-8,0.0441,ABS C,1.8,2.34,1.83,Plexiglass,1380.2040017278966,1380.2040017278966,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,380.20400172789664,3,0,0
01.11.23,ANG,FIRST,C,C-8,0.0441,PLA C,1.8,2.34,1.83,Plexiglass,1380.2040017278966,1380.2040017278966,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,380.20400172789664,3,0,0
01.11.23,ANG,FIRST,HC,HC-2,0.0384,HC,4.75,2.32,2.88,Plexiglass,1117.4791152936064,1117.4791152936064,3.1661004835708395,31.737599999999997,62.7632,0.7723754025330235,4.75,2.88,2.32,2.0474137931034484,0.6272561617056152,117.47911529360636,4,0,0
01.11.23,ANG,FIRST,HC,HC-2,0.0384,ABS HC,4.75,2.32,2.88,Plexiglass,1117.4791152936064,1117.4791152936064,3.1661004835708395,31.737599999999997,62.7632,0.7723754025330235,4.75,2.88,2.32,2.0474137931034484,0.6272561617056152,117.47911529360636,4,0,0
01.11.23,ANG,FIRST,HC,HC-2,0.0384,PLA HC,4.75,2.32,2.88,Plexiglass,1117.4791152936064,1117.4791152936064,3.1661004835708395,31.737599999999997,62.7632,0.7723754025330235,4.75,2.88,2.32,2.0474137931034484,0.6272561617056152,117.47911529360636,4,0,0
01.11.23,ANG,FIRST,HC,HC-2,0.0384,PA 6,4.75,2.32,2.88,Plexiglass,1117.4791152936064,1117.4791152936064,3.1661004835708395,31.737599999999997,62.7632,0.7723754025330235,4.75,2.88,2.32,2.0474137931034484,0.6272561617056152,117.47911529360636,4,0,0
01.11.23,ANG,FIRST,HC,HC-23,0.0383,HC,2.74,1.29,2.29,Plexiglass,1095.565886278867,1095.565886278867,2.0078222000419603,8.094234,25.526600000000002,0.7637331735724675,2.74,2.29,1.29,2.124031007751938,0.5149874999217962,95.56588627886708,4,0,0
01.11.23,ANG,FIRST,WSP,WSP-2,0.039900000000000005,WSP,3.48,3.53,2.35,Plexiglass,1236.073628322845,1236.073628322845,3.0676603322706244,28.86834,57.515800000000006,0.791245951092734,3.53,3.48,2.35,1.502127659574468,0.6704878117957578,236.07362832284502,10,0,0
01.11.23,ANG,SECOND,BSP,BSP-1,0.0524,BSP,4.83,4.82,2.33,Plexiglass,1148.5115909612796,1148.5115909612796,3.7854428742340436,54.24379800000001,91.53020000000001,0.7570997564971561,4.83,4.82,2.33,2.072961373390558,0.4829018136873169,148.51159096127958,2,0,0
01.11.23,ANG,SECOND,BSP,BSP-1,0.0524,PA 6,4.83,4.82,2.33,Plexiglass,1148.5115909612796,1148.5115909612796,3.7854428742340436,54.24379800000001,91.53020000000001,0.7570997564971561,4.83,4.82,2.33,2.072961373390558,0.4829018136873169,148.51159096127958,2,0,0
01.11.23,ANG,SECOND,BSP,BSP-5,0.053399999999999996,BSP,3.83,2.79,2.32,Plexiglass,1081.4580938994018,1081.4580938994018,2.915839762684165,24.790824,52.0882,0.7893544882508976,3.83,2.79,2.32,1.6508620689655173,0.7097191051089827,81.45809389940177,2,0,0
01.11.23,ANG,SECOND,WSP,WSP-11,0.0233,WSP,4.02,1.6,2.85,Plexiglass,1285.4622857247791,1285.4622857247791,2.6367176838678814,18.3312,44.897999999999996,0.7488319961830875,4.02,2.85,1.6,2.5124999999999997,0.47269882863805895,285.4622857247791,10,0,0
01.11.23,ANG,SECOND,WSP,WSP-2,0.0425,WSP,3.5,3.5,2.34,Plexiglass,1236.073628322845,1236.073628322845,3.060440792581834,28.665,57.25999999999999,0.7910441895685751,3.5,3.5,2.34,1.4957264957264957,0.6685714285714285,236.07362832284502,10,0,0
01.11.23,ANG,THIRD,BSP,BSP-1,0.049100000000000005,BSP,4.86,4.84,2.34,Plexiglass,1148.5115909612796,1148.5115909612796,3.8039298218700504,55.042415999999996,92.4408,0.7569817711719261,4.86,4.84,2.34,2.076923076923077,0.4824752523663835,148.51159096127958,2,0,0
